Section,Exam.1..4245260.,Exam.2..4245261.,YOUR.CHOICE....Citation.Manager..4122456.,YOUR.CHOICE....Critical.Book.Report.s...4122457.,YOUR.CHOICE....Zoo.Aquarium.Visit..4122466.,YOUR.CHOICE....Mauna.Loa.Observatory..4122463.,YOUR.CHOICE....Interviews..4122461.,YOUR.CHOICE....Greenhouse.or.Herbarium.visit..4122460.,YOUR.CHOICE....Introduction.to.R..4122462.,YOUR.CHOICE....Final..4122459.,YOUR.CHOICE....Midterm..4122464.,YOUR.CHOICE....Seminar.Write.up.2..4244270.,YOUR.CHOICE....Seminar.Write.up.3..4249990.,YOUR.CHOICE....Seminar.Write.up.4..4256489.,YOUR.CHOICE....Antarctica..4237627.,X1..Quiz.1..4122444.,X2..Quiz.2..4122445.,X3..Quiz.3..4122443.,X4..Quiz.4..4122448.,X5..Quiz.5..4122449.,X6..Quiz.6..4122450.,X7..Quiz.7..4122447.,X8..Quiz.8..4122446.,Actual.PreTest.Score...not.what.your.grade.is...4122452.
BIOL-1620-002,78,57,0,0,0,0,0,0,30,0,55,5,5,5,10,4,0,4,6,4,2,8,0,28
BIOL-1620-002,63,87,0,0,10,0,0,0,30,0,50,0,0,0,10,8,6,10,6,10,6,8,0,22
BIOL-1620-002,78,66,10,0,0,0,0,10,30,0,50,0,0,0,0,8,10,10,10,8,6,10,0,34
BIOL-1620-002,81,81,0,0,10,0,0,10,30,0,50,0,0,0,0,10,8,10,4,6,6,10,0,26
BIOL-1620-002,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,30
BIOL-1620-002,99,78,0,70,0,0,0,0,0,0,70,0,0,0,0,10,10,8,10,8,6,10,0,28
BIOL-1620-002,66,51,0,0,10,0,0,10,30,0,50,0,0,0,0,8,6,10,6,2,4,6,0,24
BIOL-1620-002,63,66,8,30,10,0,0,0,0,0,58,0,0,0,10,8,8,10,6,4,0,0,0,24
BIOL-1620-002,69,87,0,80,0,0,0,0,0,0,80,0,0,0,0,4,8,8,6,6,6,4,0,24
BIOL-1620-002,72,57,0,0,10,0,0,10,30,0,50,0,0,0,0,8,8,0,10,6,4,4,0,22
BIOL-1620-002,66,90,10,80,10,10,0,0,30,0,140,0,0,0,0,6,6,10,6,8,8,8,0,26
BIOL-1620-002,69,75,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,6,4,2,2,0,24
BIOL-1620-002,78,84,10,0,10,10,0,0,0,0,45,0,0,5,10,8,8,8,6,8,4,6,0,32
BIOL-1620-002,72,57,10,0,0,10,0,10,0,0,55,5,0,5,10,6,8,10,6,8,4,4,0,28
BIOL-1620-002,69,78,0,0,10,0,0,0,30,0,50,0,0,0,10,6,10,4,6,4,2,8,0,28
BIOL-1620-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,24
BIOL-1620-002,72,66,8,30,0,0,0,0,30,0,73,5,0,0,0,4,8,0,8,4,4,6,0,26
BIOL-1620-002,69,87,0,30,10,0,0,0,30,0,70,0,0,0,0,10,6,10,8,6,6,8,0,20
BIOL-1620-002,69,60,0,20,0,0,0,0,30,0,50,0,0,0,0,8,6,10,4,10,6,10,0,22
BIOL-1620-002,45,0,0,0,10,0,10,0,0,0,30,0,0,0,10,6,4,10,6,10,4,2,0,28
BIOL-1620-002,57,81,0,50,0,0,0,0,0,0,50,0,0,0,0,10,6,8,8,6,4,8,0,26
BIOL-1620-002,60,0,0,30,0,0,10,10,0,0,50,0,0,0,0,10,10,10,6,8,6,10,0,24
BIOL-1620-002,75,63,0,0,10,10,10,10,0,0,50,0,0,0,10,4,6,10,8,6,4,6,0,24
BIOL-1620-002,84,96,5,30,0,0,0,0,0,0,45,0,5,5,0,8,10,8,6,10,10,8,0,28
BIOL-1620-002,63,69,0,30,0,0,0,0,30,0,60,0,0,0,0,8,10,8,6,4,6,8,0,18
BIOL-1620-002,63,66,10,60,10,0,20,10,30,0,140,0,0,0,0,8,10,10,8,8,6,10,0,30
BIOL-1620-002,75,69,10,0,0,10,0,0,30,0,50,0,0,0,0,4,4,10,6,8,6,6,0,30
BIOL-1620-002,63,75,10,0,0,10,0,0,30,0,50,0,0,0,0,10,8,10,4,8,6,8,0,20
BIOL-1620-002,72,69,0,30,0,0,0,0,30,0,60,0,0,0,0,6,10,8,10,8,4,4,0,22
BIOL-1620-002,81,81,0,0,0,0,20,0,30,0,50,0,0,0,0,6,10,10,8,8,6,10,0,20
BIOL-1620-002,75,66,10,0,10,0,0,0,30,0,65,0,5,0,10,6,10,4,10,10,6,8,0,22
BIOL-1620-002,66,69,0,0,0,0,10,10,0,0,50,5,5,5,10,4,6,10,6,4,4,4,0,18
BIOL-1620-002,75,66,10,0,0,0,0,0,30,0,50,0,0,0,10,4,0,10,8,8,4,8,0,18
BIOL-1620-002,51,69,0,0,10,8,0,0,30,0,48,0,0,0,0,10,0,2,8,0,0,4,0,20
BIOL-1620-002,63,72,10,30,0,0,0,0,0,0,65,0,5,5,10,6,8,4,8,6,6,6,0,24
BIOL-1620-002,72,78,0,0,0,0,0,0,30,0,40,0,0,0,10,10,6,10,6,8,4,10,0,30
BIOL-1620-002,81,81,0,30,10,0,0,0,0,0,50,5,0,5,0,2,6,10,6,6,2,4,0,32
BIOL-1620-002,75,66,0,30,10,0,0,0,0,0,50,0,0,0,10,10,0,8,6,6,4,6,0,20
BIOL-1620-002,60,81,0,60,0,0,0,0,30,0,105,5,5,5,0,6,8,6,4,4,2,2,0,20
BIOL-1620-002,72,66,0,80,0,0,0,0,0,0,80,0,0,0,0,4,6,2,6,6,2,8,0,26
BIOL-1620-002,84,75,0,0,10,0,0,0,30,0,50,0,0,0,10,8,10,6,4,6,8,6,0,36
BIOL-1620-002,51,66,0,30,0,0,0,0,30,0,60,0,0,0,0,8,8,8,6,8,4,4,0,20
BIOL-1620-002,81,69,0,60,10,0,0,0,0,0,70,0,0,0,0,8,8,6,6,0,8,4,0,32
BIOL-1620-002,93,93,10,0,10,0,0,0,30,0,50,0,0,0,0,8,10,10,8,8,8,6,0,34
BIOL-1620-002,51,54,8,0,10,0,0,0,30,0,63,5,0,5,0,6,0,4,0,8,0,2,0,26
BIOL-1620-002,66,0,10,0,10,0,0,10,30,0,80,0,5,0,10,6,6,10,4,6,4,6,0,26
BIOL-1620-002,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,8,6,0,6,0,28
BIOL-1620-002,57,0,0,30,0,0,0,0,0,0,30,0,0,0,0,8,10,6,8,8,6,0,0,0
BIOL-1620-002,63,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,8,4,4,6,0,30
BIOL-1620-002,42,51,8,0,10,0,0,0,30,0,58,0,0,0,10,0,0,0,4,6,4,2,0,0
BIOL-1620-002,66,0,10,0,0,0,0,10,30,0,50,0,0,0,0,6,10,10,6,4,4,10,0,22
BIOL-1620-002,60,0,10,0,0,0,0,0,30,0,50,0,0,0,10,10,10,6,8,6,6,10,0,34
BIOL-1620-002,54,60,0,0,10,0,0,10,30,0,65,0,0,0,10,6,8,6,6,10,4,4,0,18
BIOL-1620-002,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,4,6,6,4,0,30
BIOL-1620-002,51,75,7,0,0,8,0,0,30,0,45,0,0,0,0,6,8,10,6,8,6,8,0,20
BIOL-1620-002,69,72,80,80,0,0,0,0,0,0,165,0,0,0,0,8,8,10,8,6,6,4,0,24
BIOL-1620-002,78,84,0,30,0,0,0,0,0,0,55,5,0,5,10,10,6,8,6,6,6,8,0,24
BIOL-1620-002,57,75,0,0,10,0,0,0,30,0,50,0,0,0,10,8,4,6,10,6,4,4,0,28
BIOL-1620-002,63,87,8,0,0,0,0,0,30,0,48,5,0,5,0,4,6,10,6,10,4,6,0,18
BIOL-1620-002,72,78,10,0,10,10,0,0,30,0,60,0,0,0,0,6,10,10,8,6,6,6,0,26
BIOL-1620-002,78,87,0,0,10,0,0,10,30,0,50,0,0,0,0,6,10,8,6,6,6,10,0,14
BIOL-1620-002,57,75,0,80,0,0,0,0,0,0,80,0,0,0,0,8,8,8,10,8,4,8,0,30
BIOL-1620-002,84,60,0,0,0,10,0,0,30,0,55,5,0,5,0,6,10,0,4,6,4,8,0,24
BIOL-1620-002,39,48,0,0,10,0,0,0,30,0,50,0,0,0,10,4,8,6,6,2,4,4,0,18
BIOL-1620-002,81,81,0,0,10,0,0,10,30,0,50,0,0,0,0,10,10,6,8,10,6,10,0,28
BIOL-1620-002,69,69,0,30,0,0,0,10,0,0,50,0,0,0,10,8,8,10,8,8,8,6,0,30
BIOL-1620-002,90,87,10,80,0,0,0,0,30,0,120,0,0,0,0,10,10,8,8,8,4,8,0,34
BIOL-1620-002,66,72,0,30,0,0,0,0,0,0,50,5,5,5,0,4,10,8,6,8,6,6,0,14
BIOL-1620-002,0,45,10,30,0,8,0,0,0,0,58,0,0,0,10,6,8,8,6,8,4,0,0,14
BIOL-1620-002,69,57,0,0,0,0,0,0,0,0,25,5,5,0,10,2,8,6,0,6,4,8,0,24
BIOL-1620-002,69,72,0,30,0,0,0,0,30,0,60,0,0,0,0,10,10,10,6,2,4,8,0,20
BIOL-1620-002,72,69,10,0,10,10,0,0,30,0,70,0,0,0,10,6,6,10,8,4,4,2,0,28
BIOL-1620-002,66,81,0,30,0,0,0,0,30,0,60,0,0,0,0,4,8,8,0,6,6,8,0,8
BIOL-1620-002,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,0,6,0,0,0,20
BIOL-1620-002,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,2,6,0,36
BIOL-1620-002,51,60,7,0,0,0,0,0,30,0,47,0,0,0,10,4,10,10,6,2,4,4,0,26
BIOL-1620-002,66,72,0,0,0,6,20,0,0,0,26,0,0,0,0,4,8,8,4,6,6,8,0,30
BIOL-1620-002,36,54,0,0,10,0,20,10,0,0,50,0,0,0,10,8,8,10,10,10,4,10,0,20
BIOL-1620-002,75,69,10,0,0,10,0,0,30,0,50,0,0,0,0,8,10,10,6,4,8,6,0,30
BIOL-1620-002,72,72,0,30,10,0,0,10,0,0,50,0,0,0,0,6,8,10,10,10,6,4,0,32
BIOL-1620-002,66,51,0,0,0,0,0,0,30,0,30,0,0,0,0,4,4,8,4,8,4,4,0,22
BIOL-1620-002,75,84,10,0,0,0,0,0,30,0,70,5,5,5,10,6,6,8,8,8,4,10,0,26
BIOL-1620-002,96,0,0,0,0,0,0,10,30,0,50,0,0,0,10,8,10,10,10,10,6,10,0,44
BIOL-1620-002,81,84,10,0,0,0,0,10,30,0,50,0,0,0,0,8,6,10,6,8,6,8,0,32
BIOL-1620-002,75,78,10,30,0,10,0,0,0,0,55,0,0,5,0,2,6,10,10,6,6,8,0,16
BIOL-1620-002,63,75,0,0,0,0,0,10,30,0,50,0,5,5,0,6,4,0,6,8,4,8,0,28
BIOL-1620-002,60,78,10,0,0,0,0,10,30,0,50,0,0,0,0,4,6,10,6,6,6,6,0,24
BIOL-1620-002,69,60,10,30,10,8,0,0,0,0,58,0,0,0,0,6,8,10,6,8,6,4,0,18
BIOL-1620-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
