Predator_individual_number,Predator_order,Predator_family,Predator_species,Predator_development_stage,Predator_body_length_[mm,_measured],Predator_body_mass_[mg,_calculated]_,Predator_sex,Study_site,Collection_date,Consumption_prey_Araneae,Consumption_prey_Diptera,Consumption_prey_Gamasidae,Consumption_prey_Isopoda,Consumption_prey_Lumbricidae,Consumption_prey_Oribatida,Consumption_prey_Staphylinidae,Consumption_prey_Collembola,Consumption_prey_Ceratophysella_denticulata,Consumption_prey_Folsomia_quadrioculata,Consumption_prey_Lepidocyrtus_lanuginosus,Consumption_prey_Protaphorura_armata,Consumption_prey_Pogonognathellus_longicornis,Consumption_prey_Lithobiidae
3595,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3596,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
3597,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3598,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,9,9.575773902,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3599,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3600,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,10,12.23742378,female,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3601,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW11,24.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3602,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3603,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,14,26.782597,female,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3604,Lithobiomorpha,Lithobiidae,Lithobius_piceus,adult,14,26.782597,female,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3605,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3606,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,female,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3607,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3608,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3609,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW11,24.6.2010,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,,
3610,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3611,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW11,24.6.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
3612,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3614,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3679,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,NA,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3680,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,24.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3682,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3683,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3686,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,NA,HEW12,24.6.2010,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3688,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3693,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3696,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,8,7.279457173,NA,HEW12,24.6.2010,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,,
3697,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,male,HEW12,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3767,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,NA,HEW36,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3768,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3770,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,11,15.27726276,female,HEW36,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3771,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,female,HEW36,24.6.2010,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3780,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,24.6.2010,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,,
3783,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW36,24.6.2010,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,,
3784,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,10,12.23742378,male,HEW36,24.6.2010,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,,
3786,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW36,24.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3815,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,NA,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3816,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3818,Lithobiomorpha,Lithobiidae,Lithobius_melanops,adult,11,15.27726276,male,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3819,Lithobiomorpha,Lithobiidae,Lithobius_melanops,adult,11,15.27726276,female,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3820,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW10,29.6.2010,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3821,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,male,HEW10,29.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3823,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW10,29.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3825,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3826,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3827,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3828,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW10,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3829,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW10,29.6.2010,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,,
3830,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,29.6.2010,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,,
3831,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,29.6.2010,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3833,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW10,29.6.2010,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,,
3872,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,female,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3873,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3874,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3875,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3876,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3877,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW11,29.6.2010,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3878,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3879,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3880,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3881,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3882,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,female,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3883,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,14,26.782597,male,HEW11,29.6.2010,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,,
3888,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW11,29.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3890,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW11,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3917,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3918,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,10,12.23742378,male,HEW12,29.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3919,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3920,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3921,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,male,HEW12,29.6.2010,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3922,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3923,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,2,0.288801647,NA,HEW12,29.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3924,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,3,0.742184605,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
3925,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,3,0.742184605,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3926,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3927,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3928,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW12,29.6.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
3929,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3930,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,6,3.72616092,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3931,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,15,31.4486695,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3932,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3933,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3934,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3935,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW12,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3936,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW12,29.6.2010,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
3985,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,29.6.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
3986,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,29.6.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
3987,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3988,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW36,29.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3989,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,29.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3990,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3991,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3992,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,29.6.2010,1,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
3993,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW36,29.6.2010,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,,
3994,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,male,HEW36,29.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3995,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW36,29.6.2010,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,,
3996,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3997,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,male,HEW36,29.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3998,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3999,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4000,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4001,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4002,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4003,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,29.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4004,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,29.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4060,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
4061,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4062,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4063,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4064,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
4065,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,8.7.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
4066,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
4067,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4068,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,15,31.4486695,female,HEW10,8.7.2010,0,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,,
4069,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
4071,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4072,Lithobiomorpha,Lithobiidae,Lithobius_muticus,adult,10,12.23742378,male,HEW10,8.7.2010,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
4074,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW10,8.7.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
4075,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW10,8.7.2010,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
