PlotCode	Lat	Long	PlotArea	No.Ind.	No.Species	No.Genera	Multiple.census	Plot.team	Network
CPA-08	-12.5	-69.22	0.1	49	29	26	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-09	-12.48	-69.2	0.1	63	40	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPP-01	-1.84	-47.1	1	497	132	78	1	Ima Vieira	RAINFOR
CPP-02	-1.84	-47.1	1	465	125	80	0	Ima Vieira	RAINFOR
CPR-01	-12.51	-68.75	0.1	66	30	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-02	-12.52	-68.73	0.1	66	40	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-03	-12.5	-68.78	0.1	75	38	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-04	-12.5	-68.75	0.1	61	30	28	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-05	-12.55	-68.77	0.1	172	25	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-06	-12.49	-68.76	0.1	64	27	27	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-07	-12.5	-68.78	0.1	71	38	36	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-08	-12.52	-68.75	0.1	84	35	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-09	-12.53	-68.76	0.1	65	29	26	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-10	-12.53	-68.72	0.1	126	36	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-11	-12.48	-68.76	0.1	73	22	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPZ-01	2.03	-67.07	0.1	77	31	24	0	Gerardo Aymard	RAINFOR
CRP-01	-14.54	-61.5	1	768	69	48	1	Abel Monteagudo; Roel Brienen; Alejandro Murakami-Araujo;Luzmila Arroyo; Timothy Killeen	RAINFOR
CRP-02	-14.54	-61.5	1	717	80	58	1	Abel Monteagudo; Roel Brienen; Alejandro Murakami-Araujo;Luzmila Arroyo; Timothy Killeen	RAINFOR 
CRZ-01	8.83	-71.86	1	563	21	19	1	Jean-Pierre Veillon; Oliver Phillips	RAINFOR
CSM-01	2.58	-67.12	1	496	61	48	0	Gerardo Aymard	RAINFOR
CUZ-01	-12.54	-69.06	1	912	185	111	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-02	-12.54	-69.06	1	805	164	108	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-03	-12.53	-69.05	1	752	168	109	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-04	-12.54	-69.05	1	971	211	115	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-10	-12.58	-69.15	0.1	84	41	37	0	Alwyn Gentry; Percy Núñez Vargas	Gentry
DOI-01	-10.57	-68.32	1	669	208	138	1	Ted Feldpausch; Marcos Silveira; Tim Baker; Juliana Stropp; Wenderson Castro	RAINFOR 
DOI-02	-10.55	-68.31	1	514	145	102	1	Ted Feldpausch; Marcos Silveira; Tim Baker; Juliana Stropp; Wenderson Castro	RAINFOR 
DUR-01	0.25	-76.75	0.04	37	32	28	0	Alwyn Gentry	Gentry
EBB-01	-14.78	-66.34	1	611	45	41	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-02	-14.77	-66.35	1	618	57	50	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-03	-14.84	-66.34	1	522	53	47	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-05	-14.76	-66.34	1	467	34	31	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-07	-14.86	-66.32	1	588	57	54	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-08	-14.85	-66.34	1	398	54	49	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-09	-14.73	-66.32	1	562	36	32	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-10	-14.89	-66.59	1	674	43	40	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-11	-14.85	-66.36	1	602	16	13	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-12	-14.64	-66.06	1	504	32	31	0	Gerardo Aymard; James Comiskey	RAINFOR
EBB-13	-14.74	-66.27	1	448	38	33	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-14	-14.74	-66.56	1	488	46	41	1	Gerardo Aymard; James Comiskey	RAINFOR
ELD-01	6.11	-61.41	0.25	163	46	37	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-02	6.11	-61.41	0.25	156	36	30	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-03	6.09	-61.4	0.25	248	64	49	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-04	6.09	-61.35	0.25	252	59	45	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
EMC-01	8.01	-70.55	1	278	24	21	1	Emilio Vilanova	RAINFOR
EMC-02	8.01	-70.55	1	245	23	22	1	Emilio Vilanova	RAINFOR
EMC-03	8.01	-70.55	1	452	23	20	1	Emilio Vilanova	RAINFOR
ENT-01	-14.63	-60.7	0.1	65	37	36	0	Alwyn Gentry	Gentry
FEC-01	-10.07	-67.62	1	657	163	116	1	Foster Brown; Marcos Silveira; Oliver Phillips, Plínio Barbosa Camargo; Simone Aparecida Vieira, Ted Feldpausch, Wendeson Castro	RAINFOR
FLO-01	-12.81	-51.85	1	684	85	56	1	Beatriz Marimon, Ben Hur Marimon Junior; Edmar de Oliveira; Leandro Maracahipes; Ted Feldpausch	RAINFOR
FLO-02	-12.76	-51.88	1	562	63	44	1	Beatriz Marimon, Ben Hur Marimon Junior; Edmar de Oliveira; Leandro Maracahipes; Ted Feldpausch	RAINFOR
FMH-01	5.17	-58.69	1	494	58	41	1	Ted Feldpausch; Hans ter Steege; Eric Arets	RAINFOR
FMH-02	5.17	-58.69	1	421	47	35	1	Hans ter Steege; James Singh; Roderick Zagt; Oliver Phillips; Roel Brienen; Ted Feldpausch	RAINFOR
FMH-03	5.18	-58.7	1	661	57	39	1	Hans ter Steege; James Singh; Roderick Zagt; Oliver Phillips; Roel Brienen; Ted Feldpausch	RAINFOR
FOB-01	-13.57	-61.02	1	387	25	23	0	Luzmila Arroyo; Timothy Killeen	RAINFOR
GAB-01	1.7	-66.98	0.1	70	36	30	0	Gerardo Aymard	RAINFOR
GAL-01	5.8	-67.33	0.1	115	50	43	0	Gerardo Aymard	RAINFOR
GMT-01	-1.11	-47.8	1	544	149	96	1	Tim Baker	RAINFOR
HEA-01	-12.83	-68.83	0.1	65	40	35	0	Alwyn Gentry	Gentry
HSP-01	8.5	-69	1	417	26	25	1	Jean-Pierre Veillon	RAINFOR
HUM-01	-8.83	-75	0.1	75	36	31	0	Alwyn Gentry; Kenneth Young	Gentry
IMA-01	7.44	-61.17	1	526	68	56	0	Gerardo Aymard; Oliver Phillips	RAINFOR
IMA-02	7.45	-61.17	1	490	59	51	0	Gerardo Aymard; Oliver Phillips	RAINFOR
IND-01	-3.52	-72.85	1	591	171	107	1	John Pipoly; Rodolfo Vasquez	RAINFOR
IND-10	-3.51	-73.06	0.1	89	56	50	0	Alwyn Gentry	Gentry
INF-01	-12.73	-69.7	1.3	912	173	113	1	Miguel Alexiades; Oliver Phillips	RAINFOR
IPR-01	13.35	-81.36	0.1	91	22	22	0	Alwyn Gentry	Gentry
ISR-01	9.92	-75.81	1	628	19	18	1	Esteban Álvarez Dávila	RAINFOR
IVC-01	1.92	-67.03	0.1	84	50	41	0	Gerardo Aymard	RAINFOR
IVC-02	1.92	-67.03	0.1	100	22	19	0	Gerardo Aymard	RAINFOR
IVC-03	1.92	-67.03	0.1	81	30	22	0	Gerardo Aymard	RAINFOR
IWO-03	4.53	-58.78	1	580	72	49	1	Anand Roopsind; Oliver Phillips; Raquel Thomas	RAINFOR
IWO-09	4.61	-58.73	1	695	53	37	1	Anand Roopsind; Oliver Phillips; Raquel Thomas	RAINFOR
IWO-11	4.62	-58.72	1	454	64	45	1	Anand Roopsind; Oliver Phillips; Raquel Thomas	RAINFOR
IWO-12	4.73	-58.72	1	471	83	55	1	Anand Roopsind; Oliver Phillips; Raquel Thomas	RAINFOR
IWO-21	4.63	-58.74	1	626	43	32	1	Anand Roopsind; Oliver Phillips; Raquel Thomas; Roel Brienen; Ted Feldpausch	RAINFOR
IWO-22	4.62	-58.72	1	471	70	49	1	Anand Roopsind; Oliver Phillips; Raquel Thomas; Roel Brienen; Ted Feldpausch	RAINFOR
JAC-01	-2.61	-60.21	5	3565	194	134	1	Niro Higuchi	RAINFOR 
JAC-02	-2.62	-60.2	5	3440	205	137	1	Niro Higuchi	RAINFOR 
JAM-01	-4.67	-66.17	4	3118	431	202	0	Antonio S. Lima	Literature
JAS-02	-1.07	-77.62	1	1162	274	147	1	Roel Brienen; David Neill	RAINFOR 
JAS-03	-1.08	-77.61	1	909	267	143	1	Roel Brienen; David Neill	RAINFOR 
JAS-04	-1.07	-77.61	1	996	231	137	1	Roel Brienen; David Neill	RAINFOR
JAS-05	-1.06	-77.62	1	703	193	121	1	David Neill	RAINFOR
JAS-10	-1.06	-77.6	0.1	76	59	52	0	Alwyn Gentry; David Neill	Gentry
JAU-01	-1.1	-79.63	0.1	64	30	29	0	Alwyn Gentry; David Neill	Gentry
JBU-01	-1.14	-47.7	1	528	144	98	1	Ima Vieira	RAINFOR
JEN-01	-4.91	-73.75	0.1	71	52	46	0	Rodolfo Vasquez	RAINFOR
JEN-11	-4.88	-73.63	1	680	254	122	1	Euridice Honorio	RAINFOR 
JEN-12	-4.9	-73.63	1	798	134	84	1	Euridice Honorio	RAINFOR 
JEN-13	-4.92	-73.54	1	680	192	116	1	Eurídice Honorio	RAINFOR
JEN-14	-4.84	-73.83	0.5	202	32	28	0	Eurídice Honorio	RAINFOR
JEN-15	-4.84	-73.65	0.5	283	69	57	0	Eurídice Honorio	RAINFOR
JFR-01	-10.48	-58.47	0.93	472	39	36	0	Ted Feldpausch	RAINFOR
JFR-02	-10.55	-58.49	0.525	241	31	30	0	Ted Feldpausch	RAINFOR
JFR-03	-10.48	-58.52	1.025	573	45	43	0	Ted Feldpausch	RAINFOR
JFR-04	-10.48	-58.48	1	569	40	39	0	Ted Feldpausch	RAINFOR
JFR-05	-10.48	-58.48	1	555	38	35	0	Ted Feldpausch	RAINFOR
JFR-06	-10.47	-58.49	1	507	37	35	0	Ted Feldpausch	RAINFOR
JFR-07	-10.48	-58.5	1.025	476	36	36	0	Ted Feldpausch	RAINFOR
JFR-08	-10.47	-58.5	1	505	34	33	0	Ted Feldpausch	RAINFOR
JFR-09	-10.47	-58.51	0.975	604	32	31	0	Ted Feldpausch	RAINFOR
JRI-01	-0.89	-52.19	1	666	133	99	1	Natalino Silva	RAINFOR 
JUY-01	-2.13	-76.2	1	620	208	126	0	Kenneth Young; Ophelia Wang	RAINFOR
LAS-01	-12.56	-70.11	2	1112	137	108	1	Fernando Valverde; Nigel Pitman	RAINFOR
LAS-02	-12.57	-70.09	1	650	179	119	1	Fernando Valverde; Nigel Pitman	RAINFOR
LAS-03	-12.53	-70.08	2	1334	280	135	1	Fernando Valverde; Nigel Pitman	RAINFOR
LCL-01	9.96	-75.16	0.1	54	29	26	0	Alwyn Gentry	Gentry
LFB-01	-14.58	-60.83	1	899	106	80	1	Roel Brienen	RAINFOR 
LFB-02	-14.58	-60.83	1	828	91	67	1	Roel Brienen	RAINFOR 
LJV-01	2.07	-67.08	0.1	88	38	35	0	Gerardo Aymard	RAINFOR
LMS-01	4.27	-54.75	1	638	117	88	0	Hans ter Steege	ATDN
LMS-02	4.26	-54.74	1	494	105	90	0	Hans ter Steege	ATDN
LMS-03	4.27	-54.74	1	601	117	92	0	Hans ter Steege	ATDN
LMS-04	4.25	-54.73	1	524	107	89	0	Hans ter Steege	ATDN
LMS-05	4.25	-54.73	1	981	24	23	0	Hans ter Steege	ATDN
LMS-06	4.26	-54.78	1	477	86	69	0	Hans ter Steege	ATDN
LMS-07	4.27	-54.78	1	476	85	71	0	Hans ter Steege	ATDN
LMS-08	4.27	-54.75	1	489	90	70	0	Hans ter Steege	ATDN
LOR-01	-3.06	-69.99	1	874	275	141	1	Adriana Prieto; Agustin Rudas	RAINFOR 
LOR-02	-3.06	-69.99	0.52	401	168	100	1	Adriana Prieto; Agustin Rudas	RAINFOR 
LOR-03	-3.06	-69.99	0.48	413	178	107	1	Adriana Prieto; Agustin Rudas	RAINFOR 
LSL-01	-14.4	-61.14	1	779	100	68	1	Alejandro Araujo-Murakami; Jon Lloyd; Luzmila Arroyo; Timothy Killeen; Roel Brienen	RAINFOR 
LSL-02	-14.4	-61.14	1	810	97	72	1	Alejandro Araujo-Murakami; Jon Lloyd; Luzmila Arroyo; Timothy Killeen; Roel Brienen	RAINFOR 
LST-01	4.91	-74.83	0.1	96	20	19	0	Alwyn Gentry	Gentry
MAJ-01	1.9	-67.03	0.1	65	24	20	0	Gerardo Aymard	RAINFOR
MAJ-02	1.9	-67.05	0.1	105	45	39	0	Gerardo Aymard	RAINFOR
MAS-01	7.55	-76.08	0.1	77	45	41	0	Alwyn Gentry	Gentry
MBT-01	-10.07	-65.89	1	548	160	101	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-02	-10.05	-65.89	1	505	152	93	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-04	-10.31	-65.55	1	560	155	101	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-05	-10.03	-65.63	1	567	204	114	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-06	-10.04	-65.64	1	541	180	115	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-07	-9.91	-65.74	1	548	157	94	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MBT-08	-9.94	-65.75	1	513	157	99	1	Marisol Toledo; Roel Brienen; Guido Pardo; Juan Licona	RAINFOR
MCB-01	-1.44	-48.41	2	856	137	94	0	Rafael Salomão	RAINFOR
MIN-01	-8.57	-72.9	1	921	205	136	1	Ted Feldpausch; Marcos Silveira; Jorcely Barroso	RAINFOR
MNU-01	-11.89	-71.41	2.25	2100	261	158	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR
MNU-03	-11.9	-71.4	2	2168	308	179	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR 
MNU-04	-11.9	-71.4	2	1792	339	191	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR 
MNU-05	-11.88	-71.41	2	1739	219	132	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR 
MNU-06	-11.89	-71.4	2.25	1707	216	131	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR 
MNU-08	-12	-71.24	2	1517	199	120	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR 
MNU-09	-12.04	-71.21	2	1800	183	107	1	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR
MNU-10	-11.85	-71.31	0.1	73	55	44	0	John Terborgh; Roel Brienen; Fernando Valverde	RAINFOR
MRB-01	-5.73	-49.05	2	1199	153	108	1	Rafael Salomão	RAINFOR 
MRB-02	-5.72	-49.03	2	1201	152	107	1	Rafael Salomão	RAINFOR 
MRB-03	-5.7	-49	2	1147	138	104	1	Rafael Salomão	RAINFOR 
MSH-01	-3.78	-73.5	1	894	253	141	1	Alwyn Gentry; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
MSH-10	-3.78	-73.5	0.1	83	60	46	0	Alwyn Gentry	Gentry
MSH-11	-3.78	-73.5	0.1	67	45	38	0	Alwyn Gentry	Gentry
MSH-12	-3.78	-73.5	0.1	67	39	32	0	Alwyn Gentry	Gentry
MTH-01	-8.88	-72.79	1	734	171	123	1	Ted Feldpausch; Marcos Silveira; Jose Barroso; Wenderson Castro	RAINFOR
MVE-01	-15.01	-61.13	1	567	79	66	0	Luzmila Arroyo; Timothy Killeen	RAINFOR
NCR-01	-14.64	-61.16	1	566	58	39	0	Luzmila Arroyo; Timothy Killeen	RAINFOR
NCR-02	-14.71	-61.15	1	590	65	52	0	Luzmila Arroyo; Timothy Killeen	RAINFOR
NEB-01	0.83	-66.18	0.1	62	26	21	0	Gerardo Aymard	RAINFOR
NEB-02	0.83	-66.18	0.1	59	24	21	0	Gerardo Aymard	RAINFOR
NLT-03	-13.66	-60.82	1	919	76	57	0	Luzmila Arroyo; Timothy Killeen	RAINFOR
NMS-01	4.78	-54.62	1	475	90	77	0	Hans ter Steege	ATDN
NMS-02	4.82	-54.61	0.55	256	72	59	0	Hans ter Steege	ATDN
NMS-03	4.82	-54.6	1	497	105	80	0	Hans ter Steege	ATDN
NMS-04	4.93	-54.52	1	739	116	91	0	Hans ter Steege	ATDN
NMS-05	4.93	-54.52	1	810	117	90	0	Hans ter Steege	ATDN
NMS-06	4.83	-54.61	1	607	106	87	0	Hans ter Steege	ATDN
NMU-01	-10.65	-66.76	0.1	80	40	35	0	Alwyn Gentry	Gentry
NOU-01	4.09	-52.67	1	658	94	68	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-02	4.09	-52.67	1	612	186	106	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-03	4.09	-52.68	1	557	130	79	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-04	4.09	-52.68	1	596	112	80	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-05	4.09	-52.68	1	680	114	82	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-06	4.09	-52.68	1	642	106	82	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-07	4.08	-52.68	1	648	109	79	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-08	4.08	-52.68	1	654	87	69	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-09	4.08	-52.68	1	669	64	48	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-10	4.09	-52.68	1	672	73	50	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-11	4.08	-52.68	1	633	202	109	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-12	4.08	-52.68	1	635	205	109	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-13	4.08	-52.68	1	643	211	113	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-14	4.08	-52.68	1	676	201	105	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-15	4.08	-52.68	1	621	200	103	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-16	4.08	-52.68	1	696	183	105	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-17	4.08	-52.68	1	653	194	110	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-18	4.08	-52.68	1	665	222	111	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-19	4.08	-52.68	1	655	209	103	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-20	4.08	-52.68	1	650	188	108	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-21	4.08	-52.68	1	625	173	93	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
NOU-22	4.08	-52.67	1	600	177	106	1	Jerome Chave; Ted Feldpausch; Chris Baraloto	CNRS/RAINFOR
PAB-01	5.27	-52.92	6.25	4675	320	155	1	Bruno Herault; Chris Baraloto	CNRS/RAINFOR
PAB-02	5.27	-52.92	25	16210	419	187	1	Bruno Herault; Chris Baraloto	CNRS/RAINFOR
PAK-01	-11.94	-71.28	1	919	178	117	1	James Comiskey; Oliver Phillips; Patricia Alvarez Loayza	RAINFOR 
PAK-02	-11.97	-71.27	1	1163	204	129	1	James Comiskey; Oliver Phillips; Patricia Alvarez Loayza	RAINFOR
PAR-20	5.28	-52.92	0.49	296	99	69	1	Damien Bonal	Guyaflux
PAR-21	5.28	-52.92	0.49	291	107	78	1	Damien Bonal	Guyaflux
PAR-22	5.28	-52.92	0.49	275	94	71	1	Damien Bonal	Guyaflux
PAR-23	5.28	-52.92	0.49	264	94	69	1	Damien Bonal	Guyaflux
PAR-24	5.28	-52.92	0.49	279	103	75	1	Damien Bonal	Guyaflux
PAR-25	5.28	-52.92	0.49	513	145	96	1	Damien Bonal	Guyaflux
PAR-26	5.28	-52.92	0.49	324	75	59	1	Damien Bonal	Guyaflux
PAR-27	5.28	-52.92	0.49	266	96	67	1	Damien Bonal	Guyaflux
PAR-28	5.28	-52.92	0.49	357	113	84	1	Damien Bonal	Guyaflux
