Year_Collected	Extract.Code	Date_Collected	DNA_Concentration_Katy	DNA_Concentration_Ben	Lab
2000	00_A_1	2000-04-27	0.1566	1.2399795979	Upstairs
2000	00_B_1	2000-05-08	0.03555	0.2039991142	Upstairs
2000	00_B_2	2000-05-22	0.1251	0.2083205291	Upstairs
2000	00_C_1	2000-06-09	0.30735	1.1835294609	Upstairs
2000	00_C_2	2000-06-26	0.2538	0.3862926744	Upstairs
2000	00_D_1	2000-07-05	0.00765	0.1464902242	Upstairs
2000	00_D_2	2000-07-28	0.2214	0.3204217407	Upstairs
2000	00_E_1	2000-08-07	0.38552	1.2084780835	Upstairs
2000	00_E_2	2000-08-14	0.02025	0.0311355005	Upstairs
2000	00_F_1	2000-09-18	0.0801	0.3420017177	Upstairs
2000	00_F_2	2000-09-27	0.18675	0.671007324	Upstairs
2000	00_G_1	2000-10-10	0.18854	0.2590664418	Upstairs
2000	00_G_2	2000-10-23	0.09855	0.5492848942	Upstairs
2000	00_H_1	2000-11-03	0.2115	0.5625849525	Upstairs
2000	00_H_2	2000-11-24	0.1179	0.6118951461	Upstairs
2000	00_I_1	2000-12-05	0.01575	0.149374482	Upstairs
2000	00_I_2	2000-12-20	0.06554	0.1613988114	Upstairs
2001	01_A_1	2001-01-04	0.05535	0.1321912869	Upstairs
2001	01_A_2	2001-01-29	0.1377	1.0259610881	Upstairs
2001	01_B_1	2001-02-08	0.11295	0.4866033079	Upstairs
2001	01_B_2	2001-02-20	0.01215	0.3722029338	Upstairs
2001	01_C_1	2001-03-12	0.1341	1.0853759928	Upstairs
2001	01_C_2	2001-03-26	0.04455	0.1089228559	Upstairs
2001	01_D_1	2001-04-23	0.04365	0.2097431058	Upstairs
2001	01_D_2	2001-04-30	0.0396	0.2393559971	Upstairs
2001	01_E_1	2001-05-07	0.0891	0.3097172986	Upstairs
2001	01_E_2	2001-05-21	0.02115	0.4804499919	Upstairs
2001	01_F_1	2001-06-05	0.1296	0.73606578	Upstairs
2001	01_F_2	2001-06-25	0.13275	0.4667290471	Upstairs
2001	01_G_1	2001-07-13	0.03825	0.8709144793	Upstairs
2001	01_G_2	2001-07-24	0.13275	0.5165206492	Upstairs
2001	01_H_1	2001-08-13	0.09855	0.131721855	Upstairs
2001	01_H_2	2001-08-28	0.03825	0.8467994435	Upstairs
2001	01_I_1	2001-09-10	0.1053	0.7674731092	Upstairs
2001	01_I_2	2001-09-18	0.0009	0.442048382	Upstairs
2001	01_J_1	2001-10-19	0.01845	0.2075714522	Upstairs
2001	01_J_2	2001-10-31	0.11655	1.799365705	Upstairs
2001	01_K_1	2001-11-09	0.1296	0.5089058471	Upstairs
2001	01_K_2	2001-11-21	0.0522	0.1971431398	Upstairs
2002	02_A_1	2002-01-14	0.1548	0.4653542445	Upstairs
2002	02_A_2	2002-01-30	0.22635	0.5250706147	Upstairs
2002	02_B_1	2002-02-19	0.28125	0.7295233432	Upstairs
2002	02_B_2	2002-02-28	0.10035	0.2741642936	Upstairs
2002	02_C_1	2002-03-18	0.1026	0.2643362196	Upstairs
2002	02_C_2	2002-03-25	0.07335	0.8774917075	Upstairs
2002	02_D_1	2002-04-08	0.12015	0.9965050198	Upstairs
2002	02_D_2	2002-04-22	0.10395	0.9218943468	Upstairs
2002	02_E_1	2002-05-08	0.15705	0.2091252679	Upstairs
2002	02_E_2	2002-05-20	0.04905	0.4253995712	Upstairs
2002	02_F_1	2002-06-06	0.26235	0.5266272219	Upstairs
2002	02_F_2	2002-06-25	0.00585	0.2030764265	Upstairs
2002	02_G_1	2002-07-01	0.08955	0.570897439	Upstairs
2002	02_G_2	2002-07-08	0.1611	0.2545800348	Upstairs
2002	02_H_1	2002-08-14	0.01305	0.6721413283	Upstairs
2002	02_H_2	2002-08-23	0.0819	0.2390766186	Upstairs
2002	02_I_1	2002-09-16	0.207	0.7417298617	Upstairs
2002	02_I_2	2002-09-27	0.13905	1.0384020193	Upstairs
2002	02_J_1	2002-10-23	0.05355	0.1108622814	Upstairs
2002	02_J_2	2002-10-31	0.11475	0.3997678522	Upstairs
2002	02_K_1	2002-11-01	0.0144	0.2029569448	Upstairs
2002	02_K_2	2002-11-12	0.16425	1.2982272642	Upstairs
2002	02_L_1	2002-12-12	0.0288	0.7876957348	Upstairs
2002	02_L_2	2002-12-23	0.1962	0.829355649	Upstairs
2003	03_A_1	2003-01-23	0.0405	0.3390814587	Upstairs
2003	03_A_2	2003-01-29	0.05895	1.0093808453	Upstairs
2003	03_B_1	2003-02-18	0.1197	0.3669729412	Upstairs
2003	03_B_2	2003-02-24	0.19755	0.4699063592	Upstairs
2003	03_C_1	2003-03-17	0.1413	0.4989671572	Upstairs
2003	03_C_2	2003-03-24	0.20565	0.6452857783	Upstairs
2003	03_D_1	2003-04-14	0.01395	0.0846793344	Upstairs
2003	03_D_2	2003-04-28	0.0216	1.2647363656	Upstairs
2003	03_E_1	2003-05-12	0.1422	0.3832379549	Upstairs
2003	03_E_2	2003-05-26	0.08505	0.5662154677	Upstairs
2003	03_F_1	2003-06-09	0.02115	0.2943111265	Upstairs
2003	03_F_2	2003-06-30	0.0216	0.4246630985	Upstairs
2003	03_G_1	2003-07-07	0.01665	0.1265533219	Upstairs
2003	03_G_2	2003-07-15	0.0585	0.2034186429	Upstairs
2003	03_H_1	2003-08-06	0.04005	0.5945923958	Upstairs
2003	03_H_2	2003-08-18	0.1071	0.2127852776	Upstairs
2003	03_I_1	2003-09-10	0.06705	0.6370714055	Upstairs
2003	03_I_2	2003-09-22	0.09945	0.2082740958	Upstairs
2003	03_J_1	2003-10-21	0.04635	0.1994169295	Upstairs
2003	03_J_2	2003-10-29	0.00135	0.1080696367	Upstairs
2003	03_K_1	2003-11-03	0.1134	0.4626541592	Upstairs
2003	03_K_2	2003-11-25	0.054	0.7699812355	Upstairs
2003	03_L_1	2003-12-08	0.09855	0.2650237016	Upstairs
2003	03_L_2	2003-12-24	0.17415	0.3742183586	Upstairs
2004	04_A_1	2004-01-06	0.11835	0.6589771215	Upstairs
2004	04_A_2	2004-01-26	0.0306	0.4656667508	Upstairs
2004	04_B_1	2004-02-04	0.0225	0.7347839991	Upstairs
2004	04_B_2	2004-02-10	0.05535	1.3208200435	Upstairs
2004	04_C_1	2004-03-09	0.0324	0.22550765	Upstairs
2004	04_C_2	2004-03-17	0.0351	0.3359260025	Upstairs
2004	04_D_1	2004-04-19	0.1737	0.867329624	Upstairs
2004	04_D_2	2004-04-29	0.0774	0.3646359772	Upstairs
2004	04_E_1	2004-05-14	0.1989	0.5284235174	Upstairs
2004	04_E_2	2004-05-24	0.0396	0.2727049864	Upstairs
2004	04_A_1	2004-06-23	0.08415	0.7420845968	Upstairs
2004	04_A_2	2004-07-06	0.1314	0.2587742079	Upstairs
2004	04_B_1	2004-07-19	0.10305	0.7020035588	Upstairs
2004	04_H_1	2004-08-20	0.27	0.96963628	Upstairs
2004	04_I_1	2004-09-20	0.85	1.3802534367	Upstairs
2004	04_J_1	2004-10-22	0.823	1.1386084862	Upstairs
2004	04_K_1	2004-11-10	0.34	1.4617338315	Downstairs
2005	05_A_1	2005-01-31	0.626	1.2514634925	Downstairs
2005	05_B_1	2005-02-07	0.562	1.1995071822	Downstairs
2005	05_B_2	2005-02-18	0.88	1.5895495619	Downstairs
2005	05_C_1	2005-03-02	0.708	1.4102034832	Downstairs
2005	05_C_2	2005-03-14	0.645	1.6503237406	Downstairs
2005	05_D_1	2005-04-11	0.192	0.8490265309	Downstairs
2005	05_D_2	2005-04-25	0.134	0.4151263691	Downstairs
2005	05_E_1	2005-05-04	0.682	1.9090905457	Downstairs
2005	05_E_2	2005-05-20	0.624	1.2389385115	Downstairs
2005	05_F_1	2005-06-08	0.614	1.375102646	Downstairs
2005	05_F_2	2005-06-24	0.044	0.0797971569	Downstairs
2005	05_G_1	2005-07-13	0.428	1.1403022266	Downstairs
2005	05_G_2	2005-07-25	0.462	1.5473551476	Downstairs
2005	05_H_1	2005-08-01	0.255	1.6935077136	Downstairs
2005	05_I_1	2005-10-14	0.64	2.0461890231	Downstairs
2005	05_J_1	2005-12-16	0.382	1.1457027096	Downstairs
2006	06_A_1	2006-01-17	0.745	1.4845609238	Downstairs
2006	06_B_1	2006-02-08	0.605	1.4424581961	Downstairs
2006	06_B_2	2006-02-21	0.342	1.287708862	Downstairs
2006	06_C_1	2006-03-07	0.178	0.8816887404	Downstairs
2006	06_D_1	2006-04-03	0.411	0.7902101591	Downstairs
2006	06_D_2	2006-04-27	0.91	2.4532713197	Downstairs
2006	06_E_1	2006-05-15	0.629	1.5566755967	Downstairs
2006	06_E_2	2006-05-26	0.365	1.4589608455	Downstairs
2006	06_F_1	2006-06-19	0.515	0.9933419841	Downstairs
2006	06_G_1	2006-09-26	0.104	0.4773219255	Downstairs
2006	06_H_1	2006-11-02	0.094	0.5918765593	Downstairs
2007	07_A_1	2007-03-09	0.339	1.2384718419	Downstairs
2007	07_A_2	2007-03-20	0.982	2.3009302776	Downstairs
2007	07_B_1	2007-04-10	0.494	1.6100769034	Downstairs
2007	07_B_2	2007-04-30	1.003	1.9724357049	Downstairs
2007	07_C_1	2007-05-10	0.762	1.5033865418	Downstairs
2007	07_D_1	2007-06-07	0.393	0.7593430034	Downstairs
2007	07_E_1	2007-07-03	0.125	0.2289341628	Downstairs
2007	07_E_2	2007-07-23	0.262	1.3215572829	Downstairs
2007	07_F_1	2007-08-23	0.644	2.2353394606	Downstairs
2008	08_A_1	2008-01-14	0.74	1.4091529811	Downstairs
2008	08_A_2	2008-01-24	0.34	0.8235724907	Downstairs
2008	08_B_1	2008-02-28	0.593	1.0919707524	Downstairs
2008	08_C_1	2008-03-05	0.433	2.0306908647	Downstairs
2008	08_C_2	2008-03-21	0.1	0.3065543209	Downstairs
2008	08_D_1	2008-04-03	0.271	0.7211766928	Downstairs
2008	08_D_2	2008-04-28	0.745	1.6714118602	Downstairs
2008	08_E_1	2008-05-06	0.524	1.2710608394	Downstairs
2008	08_E_2	2008-05-19	0.209	0.4313298876	Downstairs
2008	08_F_1	2008-06-02	0.565	1.6214216603	Downstairs
2008	08_F_2	2008-06-17	0.331	0.6824556769	Downstairs
2008	08_G_1	2008-07-14	0.724	1.37166029	Downstairs
2008	08_H_1	2008-08-15	0.239	1.087382662	Downstairs
2008	08_I_1	2008-09-16	0.944	2.7640524854	Downstairs
2008	08_J_1	2008-10-18	0.154	0.4361104842	Downstairs
2008	08_J_2	2008-10-28	0.281	0.646558122	Downstairs
2008	08_K_1	2008-11-06	0.665	1.7781913792	Downstairs
2010	10_A_1	2010-02-05	0.378	1.0819243239	Downstairs
2010	10_A_2	2010-02-24	0.12	0.4708193794	Downstairs
2010	10_B_1	2010-03-02	0.416	0.8009620067	Downstairs
2010	10_B_2	2010-03-15	0.723	2.0513873041	Downstairs
2010	10_B_3	2010-03-26	0.289	0.5376487283	Downstairs
2010	10_C_1	2010-04-08	0.475	1.3250910789	Downstairs
2010	10_C_2	2010-04-19	0.471	1.2059017903	Downstairs
2010	10_D_1	2010-05-03	0.46	0.8515720117	Downstairs
2010	10_D_2	2010-05-20	0.884	2.2085757409	Downstairs
2010	10_E_1	2010-06-04	0.245	0.5776387754	Downstairs
2010	10_E_2	2010-06-17	0.838	2.1798471296	Downstairs
2010	10_F_1	2010-07-30	0.493	1.4025838401	Downstairs
2010	10_G_1	2010-08-24	0.307	0.56658606	Downstairs
2010	10_H_1	2010-09-03	0.075	0.3002947582	Downstairs
2010	10_I_1	2010-10-18	0.51	1.5127343622	Downstairs
2010	10_J_1	2010-11-24	0.724	1.6234354842	Downstairs
2010	10_K_1	2010-12-27	0.74	1.427977799	Downstairs
2011	11_A_1	2011-01-10	0.271	0.9199647313	Downstairs
2011	11_A_2	2011-01-08	0.015	0.0686597977	Downstairs
2011	11_B_1	2011-02-07	0.519	1.2334426509	Downstairs
2011	11_B_2	2011-02-22	0.363	1.3634633542	Downstairs
2011	11_C_1	2011-03-03	0.147	0.3662157731	Downstairs
2011	11_C_2	2011-03-12	0.962	2.0905679626	Downstairs
2011	11_D_1	2011-04-04	0.035	0.9321340634	Downstairs
2011	11_D_2	2011-04-18	0.837	2.1953128581	Downstairs
2011	11_E_1	2011-05-11	0.693	1.5534008368	Downstairs
2011	11_E_2	2011-05-26	0.188	0.5618316321	Downstairs
2011	11_F_1	2011-06-02	0.822	1.3565685866	Downstairs
2011	11_F_2	2011-06-20	0.126	0.5188986691	Downstairs
2011	11_G_1	2011-07-11	0.529	0.9567690687	Downstairs
2011	11_G_2	2011-07-25	0.428	1.1851589113	Downstairs
2011	11_H_1	2011-08-09	0.769	1.5883869508	Downstairs
2011	11_I_1	2011-10-05	0.227	0.3680142228	Downstairs
2011	11_I_2	2011-10-24	0.251	0.6483803855	Downstairs
2011	11_J_1	2011-11-01	0.56	1.4909680846	Downstairs
2011	11_J_2	2011-11-07	0.452	0.8431703421	Downstairs
2011	11_K_1	2011-12-05	0.781	2.1707980551	Downstairs
2012	12_A_1	2012-01-09	0.486	1.9616999539	Downstairs
2012	12_A_2	2012-01-24	0.008	0.0333260068	Downstairs
2012	12_B_1	2012-02-16	0.2	0.6704901696	Downstairs
2012	12_B_2	2012-02-27	0.363	0.8149452919	Downstairs
2012	12_C_1	2012-03-01	0.837	1.594754677	Downstairs
2012	12_C_2	2012-03-20	0.407	1.4777190555	Downstairs
