Colony,Distance,Mass,Headwidth,Headwidth (mm),Size class
1.000,1.000,109.000,45.000,1.895,>43
1.000,1.000,120.000,43.000,1.811,40-43
1.000,1.000,94.000,42.000,1.768,40-43
1.000,1.000,61.000,33.000,1.389,30-34
1.000,1.000,72.000,41.000,1.726,40-43
1.000,1.000,134.000,46.000,1.937,>43
1.000,1.000,94.000,43.000,1.811,40-43
1.000,1.000,113.000,42.000,1.768,40-43
1.000,1.000,111.000,42.000,1.768,40-43
1.000,1.000,106.000,43.000,1.811,40-43
1.000,1.000,107.000,46.000,1.937,>43
1.000,1.000,96.000,42.000,1.768,40-43
1.000,1.000,53.000,33.000,1.389,30-34
1.000,1.000,121.000,44.000,1.853,>43
1.000,1.000,85.000,44.000,1.853,>43
1.000,1.000,115.000,45.000,1.895,>43
1.000,1.000,109.000,46.000,1.937,>43
1.000,1.000,105.000,39.000,1.642,35-39
1.000,1.000,93.000,39.000,1.642,35-39
1.000,1.000,103.000,42.000,1.768,40-43
1.000,1.000,110.000,44.000,1.853,>43
1.000,1.000,94.000,40.000,1.684,40-43
1.000,4.000,91.000,42.000,1.768,40-43
1.000,4.000,161.000,46.000,1.937,>43
1.000,4.000,44.000,28.000,1.179,<30
1.000,4.000,87.000,40.000,1.684,40-43
1.000,4.000,107.000,46.000,1.937,>43
1.000,4.000,107.000,41.000,1.726,40-43
1.000,4.000,86.000,40.000,1.684,40-43
1.000,4.000,91.000,38.000,1.600,35-39
1.000,4.000,156.000,43.000,1.811,40-43
1.000,4.000,95.000,43.000,1.811,40-43
1.000,4.000,95.000,42.000,1.768,40-43
1.000,4.000,98.000,42.000,1.768,40-43
1.000,4.000,72.000,37.000,1.558,35-39
1.000,4.000,76.000,39.000,1.642,35-39
1.000,4.000,154.000,43.000,1.811,40-43
1.000,4.000,34.000,28.000,1.179,<30
1.000,4.000,125.000,47.000,1.979,>43
1.000,4.000,51.000,32.000,1.347,30-34
1.000,4.000,83.000,39.000,1.642,35-39
1.000,4.000,36.000,29.000,1.221,<30
1.000,4.000,105.000,42.000,1.768,40-43
1.000,4.000,63.000,36.000,1.516,35-39
1.000,4.000,49.000,33.000,1.389,30-34
1.000,4.000,91.000,42.000,1.768,40-43
1.000,4.000,104.000,43.000,1.811,40-43
1.000,4.000,93.000,45.000,1.895,>43
1.000,4.000,84.000,43.000,1.811,40-43
1.000,4.000,95.000,43.000,1.811,40-43
1.000,4.000,80.000,38.000,1.600,35-39
1.000,4.000,74.000,39.000,1.642,35-39
1.000,4.000,96.000,43.000,1.811,40-43
1.000,4.000,149.000,44.000,1.853,>43
1.000,4.000,107.000,44.000,1.853,>43
1.000,4.000,98.000,42.000,1.768,40-43
1.000,4.000,110.000,46.000,1.937,>43
1.000,7.000,115.000,45.000,1.895,>43
1.000,7.000,107.000,41.000,1.726,40-43
1.000,7.000,105.000,42.000,1.768,40-43
1.000,7.000,96.000,43.000,1.811,40-43
1.000,7.000,70.000,37.000,1.558,35-39
1.000,7.000,96.000,42.000,1.768,40-43
1.000,7.000,127.000,43.000,1.811,40-43
1.000,7.000,131.000,45.000,1.895,>43
1.000,7.000,104.000,40.000,1.684,40-43
1.000,7.000,126.000,46.000,1.937,>43
1.000,7.000,83.000,42.000,1.768,40-43
1.000,7.000,108.000,43.000,1.811,40-43
1.000,7.000,99.000,42.000,1.768,40-43
1.000,7.000,92.000,42.000,1.768,40-43
1.000,7.000,103.000,47.000,1.979,>43
1.000,7.000,104.000,42.000,1.768,40-43
1.000,7.000,107.000,42.000,1.768,40-43
1.000,7.000,120.000,45.000,1.895,>43
1.000,7.000,112.000,43.000,1.811,40-43
1.000,7.000,97.000,41.000,1.726,40-43
1.000,7.000,94.000,42.000,1.768,40-43
1.000,7.000,92.000,40.000,1.684,40-43
1.000,10.000,123.000,44.000,1.853,>43
1.000,10.000,72.000,33.000,1.389,30-34
1.000,10.000,92.000,40.000,1.684,40-43
1.000,10.000,75.000,38.000,1.600,35-39
1.000,10.000,110.000,46.000,1.937,>43
1.000,10.000,97.000,43.000,1.811,40-43
1.000,10.000,93.000,41.000,1.726,40-43
1.000,10.000,88.000,43.000,1.811,40-43
1.000,10.000,82.000,42.000,1.768,40-43
1.000,10.000,101.000,43.000,1.811,40-43
1.000,10.000,110.000,41.000,1.726,40-43
1.000,10.000,75.000,37.000,1.558,35-39
1.000,10.000,81.000,40.000,1.684,40-43
1.000,10.000,99.000,43.000,1.811,40-43
1.000,10.000,103.000,43.000,1.811,40-43
1.000,10.000,114.000,46.000,1.937,>43
1.000,10.000,101.000,46.000,1.937,>43
1.000,10.000,77.000,42.000,1.768,40-43
1.000,10.000,125.000,47.000,1.979,>43
1.000,10.000,90.000,39.000,1.642,35-39
2.000,1.000,148.000,45.000,1.895,>43
2.000,1.000,110.000,45.000,1.895,>43
2.000,1.000,110.000,41.000,1.726,40-43
2.000,1.000,97.000,41.000,1.726,40-43
2.000,1.000,136.000,45.000,1.895,>43
2.000,1.000,115.000,43.000,1.811,40-43
2.000,1.000,101.000,42.000,1.768,40-43
2.000,1.000,158.000,47.000,1.979,>43
2.000,1.000,67.000,36.000,1.516,35-39
2.000,1.000,114.000,42.000,1.768,40-43
2.000,1.000,62.000,35.000,1.474,35-39
2.000,1.000,67.000,36.000,1.516,35-39
2.000,1.000,121.000,45.000,1.895,>43
2.000,1.000,47.000,33.000,1.389,30-34
2.000,1.000,82.000,37.000,1.558,35-39
2.000,1.000,79.000,38.000,1.600,35-39
2.000,1.000,119.000,46.000,1.937,>43
2.000,1.000,111.000,41.000,1.726,40-43
2.000,1.000,47.000,32.000,1.347,30-34
2.000,1.000,75.000,39.000,1.642,35-39
2.000,1.000,60.000,35.000,1.474,35-39
2.000,1.000,104.000,45.000,1.895,>43
2.000,4.000,133.000,46.000,1.937,>43
2.000,4.000,134.000,47.000,1.979,>43
2.000,4.000,73.000,44.000,1.853,>43
2.000,4.000,121.000,44.000,1.853,>43
2.000,4.000,73.000,39.000,1.642,35-39
2.000,4.000,86.000,42.000,1.768,40-43
2.000,4.000,63.000,40.000,1.684,40-43
2.000,4.000,84.000,41.000,1.726,40-43
2.000,4.000,129.000,46.000,1.937,>43
2.000,4.000,106.000,45.000,1.895,>43
2.000,4.000,90.000,40.000,1.684,40-43
2.000,4.000,62.000,38.000,1.600,35-39
2.000,4.000,70.000,39.000,1.642,35-39
2.000,4.000,86.000,44.000,1.853,>43
2.000,4.000,99.000,42.000,1.768,40-43
2.000,4.000,50.000,36.000,1.516,35-39
2.000,4.000,133.000,47.000,1.979,>43
2.000,4.000,74.000,43.000,1.811,40-43
2.000,4.000,140.000,47.000,1.979,>43
2.000,4.000,77.000,37.000,1.558,35-39
2.000,4.000,137.000,46.000,1.937,>43
2.000,4.000,94.000,39.000,1.642,35-39
2.000,7.000,79.000,39.000,1.642,35-39
2.000,7.000,105.000,42.000,1.768,40-43
2.000,7.000,104.000,42.000,1.768,40-43
2.000,7.000,99.000,43.000,1.811,40-43
2.000,7.000,67.000,35.000,1.474,35-39
2.000,7.000,129.000,46.000,1.937,>43
2.000,7.000,97.000,37.000,1.558,35-39
2.000,7.000,126.000,45.000,1.895,>43
2.000,7.000,152.000,46.000,1.937,>43
2.000,7.000,67.000,34.000,1.432,30-34
2.000,7.000,60.000,34.000,1.432,30-34
2.000,7.000,94.000,40.000,1.684,40-43
2.000,7.000,128.000,46.000,1.937,>43
2.000,7.000,101.000,43.000,1.811,40-43
2.000,7.000,44.000,31.000,1.305,30-34
2.000,7.000,119.000,45.000,1.895,>43
2.000,7.000,117.000,45.000,1.895,>43
2.000,7.000,80.000,40.000,1.684,40-43
2.000,7.000,78.000,39.000,1.642,35-39
2.000,7.000,54.000,31.000,1.305,30-34
2.000,7.000,99.000,45.000,1.895,>43
2.000,10.000,137.000,44.000,1.853,>43
2.000,10.000,120.000,42.000,1.768,40-43
2.000,10.000,107.000,42.000,1.768,40-43
2.000,10.000,98.000,43.000,1.811,40-43
2.000,10.000,97.000,45.000,1.895,>43
2.000,10.000,55.000,43.000,1.811,40-43
2.000,10.000,96.000,40.000,1.684,40-43
2.000,10.000,118.000,43.000,1.811,40-43
2.000,10.000,73.000,39.000,1.642,35-39
2.000,10.000,102.000,43.000,1.811,40-43
2.000,10.000,103.000,44.000,1.853,>43
2.000,10.000,97.000,45.000,1.895,>43
2.000,10.000,96.000,43.000,1.811,40-43
2.000,10.000,81.000,42.000,1.768,40-43
2.000,10.000,114.000,42.000,1.768,40-43
2.000,10.000,143.000,47.000,1.979,>43
2.000,10.000,52.000,30.000,1.263,30-34
2.000,10.000,83.000,43.000,1.811,40-43
2.000,10.000,76.000,37.000,1.558,35-39
2.000,10.000,141.000,45.000,1.895,>43
2.000,10.000,99.000,40.000,1.684,40-43
2.000,10.000,154.000,48.000,2.021,>43
2.000,10.000,109.000,42.000,1.768,40-43
3.000,1.000,103.000,40.000,1.684,40-43
3.000,1.000,55.000,32.000,1.347,30-34
3.000,1.000,154.000,46.000,1.937,>43
3.000,1.000,105.000,40.000,1.684,40-43
3.000,1.000,90.000,36.000,1.516,35-39
3.000,1.000,103.000,43.000,1.811,40-43
3.000,1.000,106.000,42.000,1.768,40-43
3.000,1.000,64.000,38.000,1.600,35-39
3.000,1.000,81.000,38.000,1.600,35-39
3.000,1.000,120.000,42.000,1.768,40-43
3.000,1.000,69.000,35.000,1.474,35-39
3.000,1.000,85.000,40.000,1.684,40-43
3.000,1.000,143.000,49.000,2.063,>43
3.000,1.000,70.000,39.000,1.642,35-39
3.000,1.000,97.000,43.000,1.811,40-43
3.000,1.000,127.000,45.000,1.895,>43
3.000,1.000,74.000,36.000,1.516,35-39
3.000,1.000,81.000,39.000,1.642,35-39
3.000,1.000,89.000,42.000,1.768,40-43
3.000,1.000,28.000,29.000,1.221,<30
3.000,1.000,54.000,32.000,1.347,30-34
3.000,1.000,113.000,46.000,1.937,>43
3.000,4.000,93.000,43.000,1.811,40-43
3.000,4.000,117.000,42.000,1.768,40-43
3.000,4.000,81.000,35.000,1.474,35-39
3.000,4.000,127.000,43.000,1.811,40-43
3.000,4.000,128.000,48.000,2.021,>43
3.000,4.000,102.000,41.000,1.726,40-43
3.000,4.000,94.000,38.000,1.600,35-39
3.000,4.000,76.000,36.000,1.516,35-39
3.000,4.000,111.000,42.000,1.768,40-43
3.000,4.000,86.000,41.000,1.726,40-43
3.000,4.000,56.000,35.000,1.474,35-39
3.000,4.000,87.000,39.000,1.642,35-39
3.000,4.000,66.000,35.000,1.474,35-39
3.000,4.000,82.000,41.000,1.726,40-43
3.000,4.000,61.000,30.000,1.263,30-34
3.000,4.000,57.000,31.000,1.305,30-34
3.000,4.000,135.000,47.000,1.979,>43
3.000,4.000,104.000,42.000,1.768,40-43
3.000,4.000,132.000,48.000,2.021,>43
3.000,4.000,120.000,44.000,1.853,>43
3.000,4.000,118.000,43.000,1.811,40-43
3.000,4.000,111.000,45.000,1.895,>43
3.000,7.000,74.000,34.000,1.432,30-34
3.000,7.000,80.000,39.000,1.642,35-39
3.000,7.000,95.000,41.000,1.726,40-43
3.000,7.000,64.000,31.000,1.305,30-34
3.000,7.000,50.000,32.000,1.347,30-34
3.000,7.000,122.000,45.000,1.895,>43
3.000,7.000,81.000,39.000,1.642,35-39
3.000,7.000,105.000,42.000,1.768,40-43
3.000,7.000,89.000,39.000,1.642,35-39
3.000,7.000,145.000,45.000,1.895,>43
3.000,7.000,43.000,32.000,1.347,30-34
3.000,7.000,70.000,38.000,1.600,35-39
3.000,7.000,66.000,36.000,1.516,35-39
3.000,7.000,99.000,39.000,1.642,35-39
3.000,7.000,120.000,45.000,1.895,>43
3.000,7.000,116.000,44.000,1.853,>43
3.000,7.000,105.000,40.000,1.684,40-43
3.000,7.000,132.000,45.000,1.895,>43
3.000,7.000,77.000,39.000,1.642,35-39
3.000,7.000,123.000,45.000,1.895,>43
3.000,7.000,126.000,46.000,1.937,>43
3.000,10.000,108.000,44.000,1.853,>43
3.000,10.000,92.000,41.000,1.726,40-43
3.000,10.000,86.000,39.000,1.642,35-39
3.000,10.000,95.000,40.000,1.684,40-43
3.000,10.000,89.000,41.000,1.726,40-43
3.000,10.000,119.000,43.000,1.811,40-43
3.000,10.000,60.000,36.000,1.516,35-39
3.000,10.000,100.000,42.000,1.768,40-43
3.000,10.000,95.000,40.000,1.684,40-43
3.000,10.000,55.000,32.000,1.347,30-34
3.000,10.000,78.000,40.000,1.684,40-43
3.000,10.000,75.000,38.000,1.600,35-39
3.000,10.000,112.000,44.000,1.853,>43
3.000,10.000,98.000,42.000,1.768,40-43
3.000,10.000,77.000,38.000,1.600,35-39
3.000,10.000,84.000,40.000,1.684,40-43
3.000,10.000,92.000,34.000,1.432,30-34
3.000,10.000,110.000,43.000,1.811,40-43
3.000,10.000,140.000,47.000,1.979,>43
3.000,10.000,84.000,39.000,1.642,35-39
3.000,10.000,61.000,30.000,1.263,30-34
3.000,10.000,129.000,45.000,1.895,>43
3.000,10.000,116.000,41.000,1.726,40-43
4.000,1.000,74.000,40.000,1.684,40-43
4.000,1.000,95.000,38.000,1.600,35-39
4.000,1.000,89.000,41.000,1.726,40-43
4.000,1.000,95.000,41.000,1.726,40-43
4.000,1.000,69.000,40.000,1.684,40-43
4.000,1.000,102.000,41.000,1.726,40-43
4.000,1.000,84.000,39.000,1.642,35-39
4.000,1.000,76.000,38.000,1.600,35-39
4.000,1.000,66.000,36.000,1.516,35-39
4.000,1.000,134.000,46.000,1.937,>43
4.000,1.000,102.000,39.000,1.642,35-39
4.000,1.000,60.000,38.000,1.600,35-39
4.000,1.000,127.000,45.000,1.895,>43
4.000,1.000,36.000,30.000,1.263,30-34
4.000,1.000,65.000,37.000,1.558,35-39
4.000,1.000,165.000,46.000,1.937,>43
4.000,1.000,94.000,41.000,1.726,40-43
4.000,1.000,43.000,34.000,1.432,30-34
4.000,1.000,91.000,43.000,1.811,40-43
4.000,1.000,107.000,42.000,1.768,40-43
4.000,1.000,94.000,40.000,1.684,40-43
4.000,1.000,71.000,37.000,1.558,35-39
4.000,1.000,85.000,43.000,1.811,40-43
4.000,1.000,60.000,37.000,1.558,35-39
4.000,1.000,132.000,40.000,1.684,40-43
4.000,1.000,127.000,45.000,1.895,>43
4.000,1.000,68.000,36.000,1.516,35-39
4.000,1.000,147.000,45.000,1.895,>43
4.000,1.000,76.000,38.000,1.600,35-39
4.000,1.000,106.000,43.000,1.811,40-43
4.000,4.000,106.000,40.000,1.684,40-43
4.000,4.000,72.000,35.000,1.474,35-39
4.000,4.000,131.000,43.000,1.811,40-43
4.000,4.000,70.000,40.000,1.684,40-43
4.000,4.000,126.000,45.000,1.895,>43
4.000,4.000,77.000,41.000,1.726,40-43
4.000,4.000,78.000,43.000,1.811,40-43
4.000,4.000,103.000,41.000,1.726,40-43
4.000,4.000,82.000,40.000,1.684,40-43
4.000,4.000,103.000,41.000,1.726,40-43
4.000,4.000,90.000,42.000,1.768,40-43
4.000,4.000,105.000,42.000,1.768,40-43
4.000,4.000,96.000,41.000,1.726,40-43
4.000,4.000,80.000,39.000,1.642,35-39
4.000,4.000,112.000,45.000,1.895,>43
4.000,4.000,64.000,37.000,1.558,35-39
4.000,4.000,101.000,43.000,1.811,40-43
4.000,4.000,112.000,44.000,1.853,>43
4.000,4.000,121.000,43.000,1.811,40-43
4.000,4.000,125.000,45.000,1.895,>43
4.000,4.000,101.000,41.000,1.726,40-43
4.000,4.000,100.000,42.000,1.768,40-43
4.000,4.000,140.000,45.000,1.895,>43
4.000,4.000,58.000,34.000,1.432,30-34
4.000,4.000,84.000,42.000,1.768,40-43
4.000,7.000,139.000,44.000,1.853,>43
4.000,7.000,114.000,44.000,1.853,>43
4.000,7.000,121.000,46.000,1.937,>43
4.000,7.000,58.000,41.000,1.726,40-43
4.000,7.000,103.000,41.000,1.726,40-43
4.000,7.000,108.000,43.000,1.811,40-43
4.000,7.000,106.000,40.000,1.684,40-43
4.000,7.000,59.000,31.000,1.305,30-34
4.000,7.000,104.000,42.000,1.768,40-43
4.000,7.000,116.000,43.000,1.811,40-43
4.000,7.000,85.000,41.000,1.726,40-43
4.000,7.000,68.000,40.000,1.684,40-43
4.000,7.000,58.000,34.000,1.432,30-34
4.000,7.000,79.000,40.000,1.684,40-43
4.000,7.000,100.000,44.000,1.853,>43
4.000,7.000,77.000,37.000,1.558,35-39
4.000,7.000,110.000,42.000,1.768,40-43
4.000,7.000,104.000,43.000,1.811,40-43
4.000,7.000,125.000,45.000,1.895,>43
4.000,7.000,123.000,41.000,1.726,40-43
4.000,7.000,82.000,40.000,1.684,40-43
4.000,7.000,102.000,40.000,1.684,40-43
4.000,7.000,111.000,42.000,1.768,40-43
4.000,7.000,92.000,40.000,1.684,40-43
4.000,10.000,113.000,43.000,1.811,40-43
4.000,10.000,117.000,42.000,1.768,40-43
4.000,10.000,98.000,42.000,1.768,40-43
4.000,10.000,115.000,45.000,1.895,>43
4.000,10.000,145.000,46.000,1.937,>43
4.000,10.000,97.000,42.000,1.768,40-43
4.000,10.000,97.000,43.000,1.811,40-43
4.000,10.000,95.000,42.000,1.768,40-43
4.000,10.000,83.000,43.000,1.811,40-43
4.000,10.000,65.000,37.000,1.558,35-39
4.000,10.000,107.000,43.000,1.811,40-43
4.000,10.000,112.000,43.000,1.811,40-43
4.000,10.000,113.000,44.000,1.853,>43
4.000,10.000,97.000,43.000,1.811,40-43
4.000,10.000,94.000,43.000,1.811,40-43
4.000,10.000,81.000,42.000,1.768,40-43
4.000,10.000,102.000,45.000,1.895,>43
4.000,10.000,79.000,41.000,1.726,40-43
4.000,10.000,132.000,47.000,1.979,>43
4.000,10.000,98.000,42.000,1.768,40-43
4.000,10.000,107.000,42.000,1.768,40-43
4.000,10.000,81.000,40.000,1.684,40-43
4.000,10.000,121.000,46.000,1.937,>43
4.000,10.000,95.000,41.000,1.726,40-43
4.000,10.000,79.000,40.000,1.684,40-43
6.000,1.000,77.000,37.000,1.558,35-39
6.000,1.000,64.000,36.000,1.516,35-39
6.000,1.000,87.000,40.000,1.684,40-43
6.000,1.000,116.000,45.000,1.895,>43
6.000,1.000,77.000,38.000,1.600,35-39
6.000,1.000,75.000,35.000,1.474,35-39
6.000,1.000,88.000,40.000,1.684,40-43
6.000,1.000,33.000,27.000,1.137,<30
6.000,1.000,111.000,44.000,1.853,>43
6.000,1.000,111.000,44.000,1.853,>43
6.000,1.000,38.000,33.000,1.389,30-34
6.000,1.000,101.000,42.000,1.768,40-43
6.000,1.000,95.000,41.000,1.726,40-43
6.000,1.000,33.000,27.000,1.137,<30
6.000,1.000,91.000,39.000,1.642,35-39
6.000,1.000,63.000,35.000,1.474,35-39
6.000,1.000,103.000,35.000,1.474,35-39
6.000,1.000,45.000,32.000,1.347,30-34
6.000,1.000,78.000,38.000,1.600,35-39
6.000,1.000,120.000,43.000,1.811,40-43
