Genus,wd,Max.D,Max.growth,Mean.growth,Mort
Abarema,0.55587477,557.05,1.166485514,0.318636606,0.518355526
Abuta,0.45,NA,NA,NA,NA
Acacia,0.714104167,639.5,NA,NA,NA
Acalypha,0.577106516,206.55,NA,NA,NA
Achyrocline,0.505,NA,NA,NA,NA
Acioa,0.82,NA,NA,NA,NA
Acosmium,0.761888889,NA,NA,NA,NA
Acrocomia,0.393016667,258.4,NA,NA,NA
Adelia,0.543,NA,NA,NA,NA
Adelobotrys,0.633335,NA,NA,NA,NA
Adenocalymma,0.568855512,NA,NA,NA,NA
Adenophora,0.643065269,NA,NA,NA,NA
Aegiphila,0.640040148,219.95,NA,NA,NA
Affonsea,0.712601476,NA,NA,NA,NA
Agonandra,0.817571429,427.3,0.75,0.228012472,NA
Agouticarpa,0.627528455,NA,NA,NA,NA
Aiouea,0.37,448.5,0.787503566,0.214362389,NA
Aiphanes,0.393016667,NA,NA,NA,NA
Alberta,0.627528455,NA,NA,NA,NA
Albizia,0.524220467,837.9,1.994147128,0.46459345,NA
Alchornea,0.427674268,504,1.68619218,0.421620194,2.133674898
Alchorneopsis,0.40475,543.45,1.014237435,0.29768134,NA
Aldina,0.735245834,560.65,0.297014874,0.094660293,NA
Alexa,0.514953038,392.8,0.888819577,0.3236922,NA
Alibertia,0.678477366,258,0.802288904,0.195109565,NA
Allantoma,0.549736842,NA,NA,NA,NA
Allophylus,0.482908163,312.5,0.882588112,0.203540992,2.624395157
Alseis,0.616623853,633.4,0.76512691,0.232051677,NA
Alsophila,0.643065269,189.1,NA,NA,NA
Amaioua,0.625,244.25,0.397342455,0.092222953,1.445460698
Amanoa,0.832633987,465.7,0.372510735,0.11910733,NA
Ambelania,0.52416754,221,0.299850075,0.071384292,0.364689043
Amburana,0.519007518,559.1,1.473378302,0.391204679,NA
Ampelocera,0.688932671,592.7,1.377996996,0.336514834,1.403353344
Amphiodon,0.62,173,0.735504736,0.157298209,NA
Amphirrhox,0.71,176.45,0.249875062,0.047853939,0.672327708
Amyris,0.975,NA,NA,NA,NA
Anacardium,0.463417234,749.5,0.845025432,0.259504982,0.354629896
Anadenanthera,0.829333333,476.95,1.144802432,0.384619356,NA
Anaueria,0.559416987,655.6,1.328010323,0.283488613,NA
Anaxagorea,0.565,162.15,0.323386029,0.076092423,1.848438128
Andira,0.753425724,621,0.949596452,0.169107528,0.420358279
Aniba,0.610507105,355.95,0.706932712,0.172681768,1.003478125
Anisophyllea,0.86,406.55,0.475702163,0.135565521,NA
Annona,0.489886531,547.2,0.93228534,0.277020064,1.559649167
Anomalocalyx,0.577106516,NA,NA,NA,NA
Anomospermum,0.64,NA,NA,NA,NA
Anthodiscus,0.687678571,653.3,1.166626019,0.313866648,NA
Antonia,0.467333333,NA,NA,NA,NA
Antrocaryon,0.509907143,NA,NA,NA,NA
Aparisthmium,0.39,182.2,1.524620749,0.23671465,NA
Apeiba,0.260960428,586.8,1.588290252,0.371594736,1.198528818
Aphandra,0.393016667,NA,NA,NA,NA
Aptandra,0.765,380.05,NA,NA,NA
Apuleia,0.78249,1101.5,1.109836743,0.321665686,NA
Ardisia,0.62,NA,NA,NA,NA
Arrabidaea,0.568855512,NA,NA,NA,NA
Aspidosperma,0.732040416,659.6,0.984775896,0.266937311,0.535499177
Astrocaryum,0.508,241,NA,NA,1.695717265
Astronium,0.818059934,491,0.720984277,0.22379807,0.537359189
Attalea,0.338917669,492,NA,NA,1.159685682
Averrhoidium,0.722126894,NA,NA,NA,NA
Ayenia,0.445311563,NA,NA,NA,NA
Bactris,0.393016667,220.65,NA,NA,NA
Bagassa,0.706,1286.8,NA,NA,NA
Balisaea,0.712601476,NA,NA,NA,NA
Balizia,0.495384615,NA,NA,NA,NA
Banara,0.604662791,391.6,1.076451435,0.406967789,NA
Banisteriopsis,0.67884375,NA,NA,NA,NA
Barnebydendron,0.712601476,721.45,NA,NA,NA
Batesia,0.54,NA,NA,NA,NA
Bathysa,0.627528455,260.5,0.529976814,0.153416007,NA
Batocarpus,0.533,467.5,0.939860718,0.232421624,0.751589141
Bauhinia,0.6,320,1.037694819,0.35855571,2.998680163
Begonia,0.643065269,NA,NA,NA,NA
Beilschmiedia,0.5393,502.1,NA,NA,NA
Bellucia,0.58893424,304.1,1.437372242,0.562548509,NA
Benkara,0.75,NA,NA,NA,NA
Bertholletia,0.624,1710.7,2.145417401,0.633890564,0.20634687
Bicuiba,0.478082989,NA,NA,NA,NA
Billia,0.69,NA,NA,NA,NA
Bixa,0.359788732,393.55,1.929411765,0.61775672,2.530645835
Blakea,0.71,NA,NA,NA,NA
Blepharocalyx,0.7134,NA,NA,NA,NA
Bocageopsis,0.6402,312.2,0.47475025,0.155256984,0.463431258
Bocoa,0.994752715,404.75,0.309509201,0.079754264,0.393081538
Bombax,0.39,NA,NA,NA,NA
Bonafousia,0.505,NA,NA,NA,NA
Bonellia,0.77,NA,NA,NA,NA
Borojoa,0.52,NA,NA,NA,NA
Botryarrhena,0.734,NA,NA,NA,NA
Bourreria,0.73,NA,NA,NA,NA
Bowdichia,0.782222222,NA,NA,NA,NA
Bravaisia,0.57955,NA,NA,NA,NA
Bredemeyera,0.643065269,NA,NA,NA,NA
Brosimum,0.710596438,602.8,0.905934879,0.218613295,0.629598277
Broussonetia,0.578630934,NA,NA,NA,NA
Brownea,1.21,309,0.317622136,0.116813953,NA
Browneopsis,0.727674159,264,0.474602992,0.111553171,NA
Brunfelsia,0.457166667,NA,NA,NA,NA
Buchenavia,0.747767729,803.8,1.178460704,0.271536659,0.386178523
Bulnesia,0.943333333,NA,NA,NA,NA
Bunchosia,0.661666667,308.6,NA,NA,NA
Burdachia,0.73,NA,NA,NA,NA
Bursera,0.305115385,504.6,0.890451084,0.286591785,1.304165029
Byrsonima,0.626183376,438,1.298230595,0.342824123,1.46196806
Cabralea,0.4775,554.4,1.518206045,0.471219736,NA
Caesalpinia,0.967424243,NA,NA,NA,NA
Calatola,0.659855655,353.25,0.743071281,0.232874687,NA
Calliandra,0.82797493,504.3,NA,NA,NA
Callicarpa,0.675583333,NA,NA,NA,NA
Callisthene,0.73,359.1,0.519585962,NA,NA
Calophyllum,0.582504755,564.15,1.135,0.478122901,NA
Calycolpus,0.8,201.65,NA,NA,NA
Calycophyllum,0.714964236,851.65,1.3375,0.370586901,1.437994686
Calycorectes,0.765016667,NA,NA,NA,NA
Calyptranthes,0.86,270.2,0.366687272,0.10883024,1.128620586
Campanula,0.643065269,NA,NA,NA,NA
Campnosperma,0.44,NA,NA,NA,NA
Campomanesia,0.73,NA,NA,NA,NA
Campsiandra,0.876492537,469.2,0.745629689,0.173345466,NA
Candolleodendron,0.712601476,NA,NA,NA,NA
Capirona,0.593,334.8,0.676282648,0.205345443,1.309496401
Capparidastrum,0.675244731,321,0.536459368,0.140585894,NA
Capparis,0.683714286,550,NA,NA,NA
Caraipa,0.655002538,360,0.778923253,0.28479295,0.987108806
Carapa,0.501188811,485.8,0.828742475,0.23972699,0.711028216
Cardiopetalum,0.5,NA,NA,NA,NA
Carica,0.16,NA,NA,NA,NA
Cariniana,0.579105593,1019.6,1.097634202,0.376662043,NA
Carpotroche,0.4555,220.15,NA,NA,NA
Caryocar,0.701057402,1081,1.072156768,0.284723307,0.454651775
Caryodaphnopsis,0.555841698,730,NA,NA,NA
Caryodendron,0.65,498.9,0.727388169,0.221169156,NA
Casearia,0.679617253,284.55,0.8,0.203252433,1.422476416
Casimirella,0.681083333,NA,NA,NA,NA
Cassia,0.789117647,NA,NA,NA,NA
Cassipourea,0.82,310.4,0.389276443,0.158161523,NA
Castilla,0.5675,578.1,1.014813865,0.265039589,0.700668714
Cathedra,0.719183036,469.6,0.518552094,0.147625393,NA
Catoblastus,0.393016667,NA,NA,NA,NA
Catostemma,0.572576324,371,0.513315927,0.125454331,0.577113429
Cavanillesia,0.204827586,914.4,1.389033997,0.358334099,NA
Cecropia,0.338433207,450,2.781620963,0.845196504,3.775033878
Cedrela,0.424528045,931.05,1.437257538,0.478706734,NA
Cedrelinga,0.5038,1451.25,2.427663521,0.724570183,NA
Ceiba,0.380050321,1336.25,2.4875,0.566303685,0.832426748
Celtis,0.616,376.4,1.068618816,0.2936392,1.225224182
Cenostigma,0.712601476,315,NA,NA,NA
Centrolobium,0.6798,NA,NA,NA,NA
Centronia,0.633335,NA,NA,NA,NA
Cespedesia,0.630534669,444,NA,NA,NA
Cestrum,0.457166667,194,NA,NA,NA
Chaetocarpus,0.805,455,0.367559695,0.10148808,0.205547912
Chaetochlamys,0.57955,NA,NA,NA,NA
Chamaecrista,0.871234848,530.55,0.539454871,0.205873728,NA
Chaunochiton,0.535151515,530.25,0.700910482,0.164669444,NA
Cheiloclinium,0.701527778,185.65,0.235668382,0.068631016,1.664005378
Chelyocarpus,0.393016667,NA,NA,NA,NA
Chimarrhis,0.713146212,692.35,1.237691539,0.288330127,0.629418916
Chionanthus,0.855,NA,NA,NA,NA
Chlorocardium,0.862333333,776.65,0.562181114,0.182080916,0.085898065
Chomelia,0.556702575,179.7,NA,NA,NA
Christiana,0.445311563,NA,NA,NA,NA
Chromolucuma,0.73,NA,NA,NA,NA
Chrysobalanus,0.735,NA,NA,NA,NA
Chrysochlamys,0.440306829,245.2,0.514536917,0.145036859,1.273420511
Chrysophyllum,0.762673695,564.2,0.804094725,0.203429735,0.408851871
Cinchona,0.54,NA,NA,NA,NA
Cinchonopsis,0.627528455,NA,NA,NA,NA
Cinnamomum,0.47,NA,NA,NA,NA
Citharexylum,0.6338,NA,NA,NA,NA
Citronella,0.635333333,266.6,0.76886439,0.23491752,NA
Citrus,0.784316049,NA,NA,NA,NA
Clarisia,0.548345865,695.7,1.182211844,0.303360985,0.686897253
Clathrotropis,0.767148305,351.45,0.506119384,0.171107319,NA
Clavija,0.577,NA,NA,NA,NA
Cleidion,0.39,NA,NA,NA,NA
Clethra,0.52,NA,NA,NA,NA
Clitoria,0.712601476,NA,NA,NA,NA
Clusia,0.672770664,243,0.284383576,0.100966513,NA
Coccocypselum,0.627528455,NA,NA,NA,NA
Coccoloba,0.65012761,364.5,1.039841861,0.237601049,1.555905808
Cochlospermum,0.220996667,498.35,NA,NA,NA
Cocos,0.393016667,NA,NA,NA,NA
Cojoba,0.712601476,NA,NA,NA,NA
Cola,0.490250505,NA,NA,NA,NA
Colubrina,0.702175,419.6,0.861098521,0.152017066,NA
Combretum,0.58,366,1.186356896,0.353451327,1.992458883
Compsoneura,0.484722533,356,0.655567144,0.177605477,NA
Conceveiba,0.485311928,347,0.650465872,0.219220953,0.8279638
Conceveibum,0.39,NA,NA,NA,NA
Condaminea,0.627528455,NA,NA,NA,NA
Connarus,0.643065269,281,0.848837002,0.16503506,NA
Copaifera,0.611497119,821.8,1.293717949,0.492557713,NA
Cordia,0.463548865,363.3,0.92281457,0.232189071,1.316223998
Cordiera,0.664731707,NA,NA,NA,NA
Corythophora,0.730790196,476.1,0.562284776,0.145192084,0.274355648
Couepia,0.789790316,441.1,0.523650091,0.153728757,0.430706847
Couma,0.480523383,523,0.699101675,0.232347978,0.042286845
Couratari,0.54429651,759.2,0.856083459,0.186997248,0.221201813
Couroupita,0.430333333,585.65,NA,NA,NA
Coursetia,0.712601476,NA,NA,NA,NA
Coussapoa,0.46215,698.5,1.646436008,0.457039446,NA
Coussarea,0.602236111,201.3,0.435133718,0.107720516,NA
Coutarea,0.6,226.4,0.862467018,0.299178292,NA
Crateva,0.565972449,NA,NA,NA,NA
Cremastosperma,0.588814718,176.75,NA,NA,NA
Crepidospermum,0.5785,275,0.528561797,0.184891891,1.498760661
Crescentia,0.7,NA,NA,NA,NA
Critoniopsis,0.505,NA,NA,NA,NA
Croton,0.425538503,383.2,2.111810219,0.616813703,3.925548494
Crudia,0.857804878,432,0.775485673,0.144993836,NA
Cryptocarya,0.559416987,NA,NA,NA,NA
Cupania,0.595860544,289.75,0.79998001,0.249479679,1.585552508
Curatella,0.65,NA,NA,NA,NA
Cusparia,0.784316049,NA,NA,NA,NA
Cyathea,0.643065269,NA,NA,NA,NA
Cybianthus,0.5925,213.9,0.482519009,0.113839273,NA
Cynometra,0.865,506.2,0.666921471,0.178053781,0.766435695
Cynophalla,0.675428572,NA,NA,NA,NA
Cyphomandra,0.457166667,NA,NA,NA,NA
Cyrillopsis,0.73,496.1,0.987505424,0.27503781,NA
Dacryodes,0.514758364,476.2,0.77971275,0.196061042,0.357931712
Dalbergia,0.810583333,547.6,NA,NA,NA
Danais,0.627528455,NA,NA,NA,NA
Daphnopsis,0.643065269,NA,NA,NA,NA
Davilla,0.65,NA,NA,NA,NA
Deguelia,0.6335,NA,NA,NA,NA
Dendrobangia,0.635333333,384.6,0.61182695,0.179979074,0.44355555
Dendropanax,0.420082049,303,0.705972908,0.170949291,NA
Derris,0.6335,NA,NA,NA,NA
Dialium,0.87775,506.75,0.918670711,0.23380344,0.391392847
Dialypetalanthus,0.627528455,NA,NA,NA,NA
Dichapetalum,0.640166667,NA,NA,NA,NA
Diclinanona,0.47,281.8,0.770049915,0.19364338,NA
Dicorynia,0.605777778,797.6,1.120343376,0.316290375,0.24488461
Dicranostyles,0.435,NA,NA,NA,NA
Dicymbe,0.758,940.5,1.001436196,0.305637892,0.54929791
Dicypellium,0.559416987,496,0.632465017,0.189765012,NA
Didymocistus,0.649185714,270.5,0.788751715,0.29641617,NA
Dilodendron,0.722126894,NA,NA,NA,NA
Dimorphandra,0.811741935,609,NA,NA,NA
Dinizia,0.939333333,1646.9,NA,NA,NA
Diospyros,0.617076043,320,0.664716864,0.17238707,1.007509244
Diploon,0.848669826,354,0.582186969,0.113826428,NA
Diplotropis,0.757236158,519.5,0.7996002,0.251750757,0.494734789
Dipteryx,0.901168607,1099.25,1.204127494,0.260451249,0.719270759
Discocarpus,0.649185714,NA,NA,NA,NA
Discophora,0.56,293.4,NA,NA,NA
Dodecastigma,0.577106516,173.7,0.448717949,0.106799424,NA
Dolichandra,0.568855512,NA,NA,NA,NA
Doliocarpus,0.65,NA,NA,NA,NA
Drypetes,0.704173397,370.95,0.621603152,0.156209672,0.675122604
Duckeodendron,0.634333333,1058.25,1.334120776,0.229309026,NA
Duckesia,0.818,NA,NA,NA,NA
Duguetia,0.728560138,257.3,0.446432462,0.099780488,0.94076887
Dulacia,0.569,362.8,0.3860481,0.139853599,NA
Duroia,0.771077181,334.75,0.424164501,0.120685783,0.296293846
Dussia,0.554242938,748.6,1.274406202,0.281996548,NA
Dysolobium,0.712601476,NA,NA,NA,NA
Dystovomita,0.66934747,228.05,NA,NA,NA
Ecclinusa,0.629199324,467,0.51031593,0.130183831,0.428911236
Eichlerodendron,0.609479647,NA,NA,NA,NA
Elaeagia,0.627528455,211,NA,NA,NA
Elaeoluma,0.750506143,501.65,NA,NA,NA
Elizabetha,0.82,335.8,NA,NA,NA
Elvasia,0.731166667,186.05,NA,NA,NA
Embelia,0.62,NA,NA,NA,NA
Emmotum,0.7265,598.5,0.831443793,0.326886703,NA
Endlicheria,0.497204931,357.6,0.858173239,0.237879869,2.001356584
Endopleura,0.771833333,575.05,0.768319125,0.264016275,NA
Enterolobium,0.57781894,854,1.60019289,0.494267855,0.699546918
Eperua,0.729502511,616.6,0.591719077,0.165896012,0.268253417
Ephedranthus,0.816,265.2,0.469263257,0.11774526,0.79738205
Eriotheca,0.419800241,520,1.079028539,0.242319645,0.312701569
Erisma,0.543352078,836,1.466584108,0.355845627,0.504177697
Erythrina,0.232543936,699.5,1.579272826,0.411452442,NA
Erythroxylum,0.738201439,287.3,0.587416107,0.197007358,NA
Eschweilera,0.835304389,462.9,0.599790105,0.14514422,0.334585207
Esenbeckia,1.19,209,NA,NA,NA
Etaballia,0.92,NA,NA,NA,NA
Euceraea,0.609479647,NA,NA,NA,NA
Eugenia,0.73698229,286,0.591980528,0.136017668,1.177738594
Euphorbia,0.45,NA,NA,NA,NA
Euphronia,0.62,NA,NA,NA,NA
Euplassa,0.52,NA,NA,NA,NA
Euterpe,0.387666667,183,NA,NA,3.020730846
Euxylophora,0.656,NA,NA,NA,NA
Exarata,0.643065269,NA,NA,NA,NA
Exellodendron,0.831892484,NA,NA,NA,NA
Exostema,0.995,NA,NA,NA,NA
Exostyles,0.712601476,NA,NA,NA,NA
Faramea,0.584,227,0.473919325,0.113454809,NA
Ferdinandusa,0.732211538,346.5,0.398980855,0.105692274,1.142694509
Ficus,0.388375911,1143,3.03878061,0.78531628,1.46444034
Firmiana,0.490250505,NA,NA,NA,NA
Fissicalyx,0.712601476,357,0.645041058,0.23469625,NA
Flacourtia,0.609479647,NA,NA,NA,NA
Forsteronia,0.593673147,NA,NA,NA,NA
Froesia,0.757229911,NA,NA,NA,NA
Fusaea,0.742666667,237.7,0.446039401,0.092975807,0.941267257
Fusispermum,0.664888889,NA,NA,NA,NA
Galipea,0.784316049,234.8,0.548199776,0.146783395,NA
Gallesia,0.48,1460.6,2.180622433,0.495816582,NA
Garcinia,0.682230444,315.15,0.60876734,0.174590004,1.226266396
Gavarretia,0.65,NA,NA,NA,NA
Geissanthus,0.43,NA,NA,NA,NA
Geissospermum,0.782333333,622.7,0.49465035,0.130640799,0.099659557
Genipa,0.6404,419.3,2.385,0.795798082,NA
Geoffroea,0.75,210,1.07,0.425,NA
Geonoma,0.393016667,NA,NA,NA,NA
Glandonia,0.67884375,NA,NA,NA,NA
Gliricidia,0.585,323,1.181898067,0.291188585,NA
Gloeospermum,0.664888889,NA,NA,NA,NA
Glycydendron,0.68075,538.4,0.871745478,0.19273524,0.483150602
Gnetum,0.643065269,NA,NA,NA,NA
Godmania,0.52,NA,NA,NA,NA
Goethalsia,0.3494,NA,NA,NA,NA
Gordonia,0.5185,NA,NA,NA,NA
Goupia,0.7271875,849.85,1.154935996,0.296833517,0.271412636
Graffenrieda,0.633335,391.4,NA,NA,NA
Grias,0.62,273.9,0.422378839,0.071996803,NA
Guadua,0.643065269,NA,NA,NA,NA
Guapira,0.577258016,341.5,0.92318873,0.254247986,1.572732791
Guarea,0.622300262,377.15,0.711463298,0.162855407,1.087160246
Guatteria,0.56068571,434,1.495893844,0.416716727,1.855014169
Guazuma,0.522967466,434,1.948030664,0.504952418,2.382241247
Guettarda,0.76125,NA,NA,NA,NA
Gustavia,0.686447388,239.05,0.274377374,0.075216644,0.491157393
Gymnanthes,0.577106516,NA,NA,NA,NA
Gyrocarpus,0.27975,NA,NA,NA,NA
Hamelia,0.5,NA,NA,NA,NA
Handroanthus,0.568855512,NA,NA,NA,NA
Haploclathra,0.82,379.5,0.334448161,0.160692861,NA
Harleyodendron,0.712601476,NA,NA,NA,NA
Hasseltia,0.53,307.4,0.858093812,0.291343475,NA
Hasseltiopsis,0.609479647,NA,NA,NA,NA
Haydenia,0.742430555,195.15,0.471107208,0.156166253,NA
Hebepetalum,0.870188356,367.5,0.662046527,0.214107169,0.347937062
Hedyosmum,0.45,NA,NA,NA,NA
Heisteria,0.664247104,347.15,0.709096753,0.157877139,0.91966911
Helianthostylis,0.6275,169.5,0.325395446,0.052362766,NA
Heliconia,0.643065269,NA,NA,NA,NA
Helicostylis,0.638039026,393.9,0.64472511,0.185791847,0.750693133
Helicteres,0.445311563,NA,NA,NA,NA
Heliocarpus,0.195,NA,NA,NA,NA
Henrietta,0.633335,NA,NA,NA,NA
Henriettea,0.681851852,272,NA,NA,NA
Henriettella,0.480465116,260.5,0.472811138,0.138901527,NA
Hernandia,0.27975,NA,NA,NA,NA
Herrania,0.445311563,NA,NA,NA,NA
Heteropterys,0.67884375,NA,NA,NA,NA
Heterostemon,0.655714286,260.85,0.270581338,0.090874582,NA
Hevea,0.534212444,473,0.857519789,0.213495275,0.377489072
Hexachlamys,0.765016667,NA,NA,NA,NA
Hibbertia,0.65,NA,NA,NA,NA
Hieronyma,0.606297387,610.6,0.989109211,0.307727733,1.094910698
Himatanthus,0.489403766,399.1,0.778663604,0.221337544,0.615547349
Hippocratea,0.701527778,NA,NA,NA,NA
Hippotis,0.627528455,278.2,0.986354562,0.223021119,NA
Hirtella,0.806808075,348.4,0.548805163,0.153318503,0.868561971
Hoffmannia,0.627528455,NA,NA,NA,NA
Holocalyx,0.712601476,NA,NA,NA,NA
Holopyxidium,0.63417664,NA,NA,NA,NA
Homalium,0.795,NA,NA,NA,NA
Hortia,0.845411765,NA,NA,NA,NA
Huberodendron,0.554840909,791.6,NA,NA,NA
Huertea,0.4285,625,1.729415735,0.608120647,NA
Humiria,0.730615385,739.4,NA,NA,NA
Humiriastrum,0.724753205,597.75,0.715191943,0.294142776,NA
Hura,0.365833333,1233.8,1.399650175,0.371922003,1.073438219
Hydrochorea,0.489257246,512,NA,NA,NA
Hymenaea,0.800381333,864.6,1.208528862,0.357957848,0.407458045
Hymenolobium,0.644015541,713.8,1.134956623,0.27337153,NA
Ilex,0.574156985,483.5,0.993327348,0.270040078,NA
Inga,0.585921093,423.05,1.626333086,0.420334411,2.031781425
Iriartea,0.267,310,NA,NA,1.271667757
Iriartella,0.367813334,NA,NA,NA,NA
Iryanthera,0.607813508,333,0.5529465,0.133548766,0.801866008
Isertia,0.52,328.25,NA,NA,NA
Ixora,0.627528455,191.3,0.480176679,NA,NA
Jacaranda,0.35844166,555.3,1.386886395,0.398340528,1.125005523
Jacaratia,0.265,572.95,3.282232546,0.829276357,3.15784251
Jacqueshuberia,0.712601476,NA,NA,NA,NA
Joannesia,0.39,240.35,NA,NA,NA
Klarobelia,0.448474917,227.85,0.475780851,0.161389904,NA
Kotchubaea,0.627528455,277,NA,NA,NA
Kutchubaea,0.627528455,NA,NA,NA,NA
Lacistema,0.506915653,263.8,0.662579399,0.17461999,2.536691394
Lacmellea,0.512298958,234.05,0.430024833,0.112759328,0.819292323
Lacunaria,0.804531022,251.2,0.554809313,0.132852935,0.857815757
Ladenbergia,0.49,497.8,0.915426669,0.352629216,NA
Laetia,0.644195896,580.6,1.141141141,0.318152972,0.602080352
Lafoensia,0.705,NA,NA,NA,NA
Laxoplumeria,0.593673147,NA,NA,NA,NA
