Genus,wd,Max.D,Max.growth,Mean.growth,Mort
Lecointea,0.893333333,487.35,0.889628135,0.286017876,NA
Lecythis,0.816165726,445,0.444773907,0.109070259,0.217365845
Leonia,0.605842063,291,0.495286581,0.117812925,0.904865103
Leopoldinia,0.48,541,NA,NA,NA
Lepidocaryum,0.393016667,NA,NA,NA,NA
Leptolobium,0.795666667,380.35,NA,NA,NA
Libidibia,1.123333333,NA,NA,NA,NA
Licania,0.836057701,438,0.554839568,0.156461066,0.481994047
Licaria,0.800245018,389.25,0.637579354,0.158357271,0.76687871
Lindackeria,0.56,214.75,0.537521882,0.109448771,0.982692409
Lissocarpa,0.5992,NA,NA,NA,NA
Lonchocarpus,0.755285543,308.95,0.759703145,0.158802152,0.823208493
Loreya,0.6,466.3,2.101097509,0.479955678,NA
Lorostemon,0.66934747,NA,NA,NA,NA
Loxopterygium,0.561666667,516.4,NA,NA,NA
Lozania,0.51125,NA,NA,NA,NA
Luehea,0.539068182,948.25,1.090309256,0.289892198,1.605648575
Lueheopsis,0.490103242,548,1.210084034,0.246429489,0.385720837
Lunania,0.632992701,204,0.620093019,0.17905762,2.61433199
Lycianthes,0.457166667,NA,NA,NA,NA
Mabea,0.613650056,293,0.788678204,0.173641147,1.011548752
Maburea,0.818,244.2,0.197872867,0.05307569,NA
Machaerium,0.496500394,310,0.65,0.208345609,NA
Maclura,0.746541886,526.7,1.997308846,NA,NA
Macoubea,0.418412698,504.7,0.66536959,0.189235744,NA
Macrocnemum,0.45,608,1.568455943,0.349832142,NA
Macrolobium,0.615458333,404.7,0.53197102,0.15191182,0.701175092
Macrosamanea,0.712601476,NA,NA,NA,NA
Magnolia,0.497142857,437.3,0.696717552,0.237309771,NA
Magonia,0.77,NA,NA,NA,NA
Mahurea,0.73,NA,NA,NA,NA
Malaisia,0.574208333,NA,NA,NA,NA
Malanea,0.627528455,NA,NA,NA,NA
Malmea,0.39,332.5,0.56320096,0.123540494,NA
Malouetia,0.5028,229.25,0.635362308,0.156124303,NA
Malpighia,0.67884375,NA,NA,NA,NA
Malva,0.445311563,NA,NA,NA,NA
Manekia,0.33,NA,NA,NA,NA
Manettia,0.627528455,NA,NA,NA,NA
Manicaria,0.393016667,NA,NA,NA,NA
Manilkara,0.877920608,790.75,0.881864855,0.236511933,0.389023538
Maprounea,0.555,458.15,NA,NA,NA
Maquira,0.636972633,447.95,0.647246914,0.159217802,0.641176847
Marcgravia,0.643065269,NA,NA,NA,NA
Margaritaria,0.622333333,552,0.974717449,0.291205061,NA
Margaritopsis,0.563333333,NA,NA,NA,NA
Marila,0.663689744,294,0.527894029,0.174228409,NA
Maripa,0.435,NA,NA,NA,NA
Marlierea,0.9355,248.75,0.347963193,0.092652195,NA
Marlieria,0.765016667,NA,NA,NA,NA
Marmaroxylon,0.830411696,181.2,0.52028046,0.116204298,NA
Martiodendron,0.843160714,665,NA,NA,NA
Mascagnia,0.67884375,NA,NA,NA,NA
Matayba,0.788076233,333,0.639803796,0.135961113,1.270170752
Matisia,0.504159699,438.5,0.943438317,0.198476558,0.826388326
Mauritia,0.393016667,401,NA,NA,0.96451737
Mauritiella,0.393016667,145,NA,NA,NA
Mayna,0.56,NA,NA,NA,NA
Maytenus,0.744981884,424.3,0.531497834,0.153122521,0.499140165
Melicoccus,0.730114367,550.25,0.884620509,0.196620054,NA
Meliosma,0.41841954,442.35,0.76429287,0.184093242,1.228658877
Meriania,0.49,156.95,NA,NA,NA
Metopium,0.6,NA,NA,NA,NA
Metrodorea,0.784316049,287.7,0.645571777,0.180369362,NA
Mettenia,0.577106516,NA,NA,NA,NA
Metteniusa,0.6,NA,NA,NA,NA
Mezilaurus,0.734356556,462,0.477848615,0.096669363,NA
Miconia,0.625447613,322.5,1.141483559,0.381174478,3.6387886
Micrandra,0.642378024,456.7,0.499750125,0.133087544,0.46795618
Micrandropsis,0.577106516,414.65,0.506666667,0.096898666,NA
Micropholis,0.657256533,449,0.675312368,0.181110451,0.689816707
Mimosa,0.690024765,NA,NA,NA,NA
Minquartia,0.786714286,549.9,0.698570232,0.188185705,0.487911724
Misanteca,0.79,NA,NA,NA,NA
Mollia,0.49,439.75,NA,NA,NA
Mollinedia,0.71,174.25,NA,NA,NA
Monopteryx,0.73,872,1.035754204,0.288890044,NA
Montrichardia,0.643065269,NA,NA,NA,NA
Mora,0.805587461,719.8,0.933406114,0.253215679,NA
Morisonia,0.88,NA,NA,NA,NA
Moronobea,0.832333333,636.8,0.550228508,0.231223816,NA
Mosannona,0.588814718,NA,NA,NA,NA
Mouriri,0.844808383,404,0.442043222,0.168074475,0.771440525
Moutabea,0.643065269,NA,NA,NA,NA
Mucoa,0.587034902,284.7,NA,NA,NA
Muntingia,0.3,NA,NA,NA,NA
Myracrodruon,0.96,NA,NA,NA,NA
Myrcia,0.806839078,280,0.470787103,0.136235014,1.587789712
Myrcianthes,0.69,NA,NA,NA,NA
Myrciaria,0.773248928,269.5,0.423921682,0.167979715,0.780949877
Myriaspora,0.633335,NA,NA,NA,NA
Myricaria,0.643065269,NA,NA,NA,NA
Myriocarpa,0.394980303,NA,NA,NA,NA
Myrocarpus,0.775,NA,NA,NA,NA
Myroxylon,0.777901786,710.75,1.264043355,0.438573734,NA
Myrsine,0.7,NA,NA,NA,NA
Myrtastrum,0.765016667,NA,NA,NA,NA
Naucleopsis,0.650992289,299.9,0.613333088,0.12235997,0.883722333
Nealchornea,0.613333333,290,0.713353855,0.17685709,0.977352536
Nectandra,0.502540408,455,1.197877564,0.332597423,2.5442783
Neea,0.634310534,350.8,0.753995733,0.167368794,0.959141941
Neocalyptrocalyx,0.596957143,NA,NA,NA,NA
Neocouma,0.593673147,NA,NA,NA,NA
Neoraputia,0.784316049,376,NA,NA,NA
Neosprucea,0.609479647,NA,NA,NA,NA
Newtonia,0.67,NA,NA,NA,NA
Norantea,0.643065269,NA,NA,NA,NA
Notopleura,0.563333333,NA,NA,NA,NA
Nyctaginia,0.543763889,NA,NA,NA,NA
Ochoterenaea,0.569814286,NA,NA,NA,NA
Ochroma,0.1485,332.8,4.379615953,1.743234141,10.98753909
Ochthocosmus,0.73,184.3,0.318197454,0.064499484,NA
Ocotea,0.505154799,473,1.09259857,0.298065001,1.206130893
Oenocarpus,0.666567862,256,NA,NA,1.889479509
Onychopetalum,0.629313776,305,0.448338812,0.153390066,NA
Ophiocaryon,0.415,217.6,0.273483948,0.072804543,NA
Orbignya,0.393016667,354,NA,NA,NA
Oreopanax,0.5,NA,NA,NA,NA
Ormosia,0.61634388,563,1.133328723,0.25621827,0.644210901
Osmoxylon,0.493950794,NA,NA,NA,NA
Ossaea,0.633335,NA,NA,NA,NA
Osteophloeum,0.465857143,667.6,1.192928053,0.332315636,0.414724763
Otoba,0.416631376,514,1.256171807,0.337308737,NA
Ouratea,0.776131524,294.5,0.558798687,0.143325386,1.312630478
Oxandra,0.750837238,223.35,0.379907134,0.094804179,0.712125603
Oxyanthus,0.627528455,NA,NA,NA,NA
Pachira,0.51578974,552.05,0.80782138,0.138620394,0.423187665
Pacouria,0.593673147,NA,NA,NA,NA
Pagamea,0.572110311,212.4,0.47013642,0.147939837,NA
Palicourea,0.571412281,248.6,0.369940114,0.093939983,NA
Panopsis,0.5188,391.15,NA,NA,NA
Parachimarrhis,0.627528455,NA,NA,NA,NA
Paradrypetes,0.824755556,NA,NA,NA,NA
Parahancornia,0.483155007,645,0.797447981,0.341782532,NA
Paramachaerium,0.712601476,364,0.580458156,0.11068064,NA
Parapiptadenia,0.74,NA,NA,NA,NA
Parathesis,0.62,NA,NA,NA,NA
Parinari,0.70514491,782.5,1.112817067,0.307465615,0.476156008
Parkia,0.44811093,896.6,1.544695803,0.452013998,0.990509419
Patinoa,0.445311563,NA,NA,NA,NA
Paullinia,0.722126894,NA,NA,NA,NA
Pausandra,0.59,178,0.356366301,0.100607735,1.318923734
Paypayrola,0.610795302,177,0.241017031,0.056136567,NA
Peltogyne,0.812515616,594.15,1.127015543,0.270921092,0.41181829
Pentaclethra,0.603454545,342.1,0.91383812,0.230866017,NA
Pentagonia,0.627528455,287.2,0.622562091,0.168860308,1.080077826
Pentaplaris,0.445311563,NA,NA,NA,NA
Peperomia,0.33,NA,NA,NA,NA
Pera,0.612865672,370.9,0.964850315,0.231557212,NA
Perebea,0.521355315,353.9,0.77080169,0.170084783,0.684300821
Peridiscus,0.73,NA,NA,NA,NA
Peritassa,0.701527778,NA,NA,NA,NA
Persea,0.446169935,530,2.448775612,0.757908047,NA
Phenakospermum,0.643065269,160,0.394833516,0.060119952,NA
Phragmotheca,0.445311563,503.2,NA,NA,NA
Phyllanthus,0.586666667,NA,NA,NA,NA
Physocalymma,0.705,409.5,0.349060239,0.086862616,NA
Phytelephas,0.393016667,250,NA,NA,NA
Picramnia,0.643065269,211.6,NA,NA,NA
Picrolemma,0.605611111,NA,NA,NA,NA
Pilocarpus,0.784316049,NA,NA,NA,NA
Pilosocereus,0.54,NA,NA,NA,NA
Pimenta,0.765016667,NA,NA,NA,NA
Pinzona,0.65,NA,NA,NA,NA
Piper,0.33,163.15,0.366666667,0.111832405,NA
Piptadenia,0.771830986,577.5,1.957392901,0.674232744,NA
Piptocarpha,0.505,NA,NA,NA,NA
Piranhea,0.874333333,NA,NA,NA,NA
Pisonia,0.4,NA,NA,NA,NA
Pithecellobium,0.523305798,514.8,0.541471279,0.133690048,NA
Planchonella,0.750506143,459.5,0.524280632,0.223372981,NA
Platonia,0.723142857,677,0.609675966,0.213760174,NA
Platycarpum,0.627528455,316,NA,NA,NA
Platymiscium,0.756882759,638.6,0.735724449,0.2403433,0.813760546
Platypodium,0.75,775.8,0.599248699,0.215498412,NA
Pleradenophora,0.577106516,203,0.529106781,0.157349363,NA
Pleuranthodendron,0.68,503.8,0.791713234,0.288386658,NA
Pleurothyrium,0.47,339.2,1.113606622,0.275773252,NA
Plinia,0.765016667,NA,NA,NA,NA
Plukenetia,0.577106516,NA,NA,NA,NA
Plumeria,0.8,NA,NA,NA,NA
Poecilanthe,0.62,473.3,NA,NA,NA
Poeppigia,0.735,NA,NA,NA,NA
Pogonophora,0.8325,264.6,0.332341518,0.093813958,0.816106652
Pogonopus,0.627528455,NA,NA,NA,NA
Poraqueiba,0.746069369,325,0.459707859,0.112595467,0.224352796
Porcelia,0.437894737,NA,NA,NA,NA
Porocystis,0.722126894,NA,NA,NA,NA
Posoqueria,0.552415929,283.6,0.328805029,0.096504785,NA
Potalia,0.503666667,NA,NA,NA,NA
Poulsenia,0.350428571,710.7,1.812191104,0.522967672,1.151934645
Poupartia,0.45,NA,NA,NA,NA
Pourouma,0.393169558,446.2,1.737269528,0.554882075,1.830450587
Pouteria,0.785357311,503.35,0.691586303,0.164065635,0.521582407
Pradosia,0.714869643,749.75,0.79530841,0.204316246,0.428609192
Preslianthus,0.679582993,201,NA,NA,NA
Prestoea,0.25,NA,NA,NA,NA
Prionostemma,0.701527778,NA,NA,NA,NA
Prockia,0.58,NA,NA,NA,NA
Protium,0.562590884,332,0.666381766,0.183510629,1.127713462
Prunus,0.836591743,471.8,1.034232864,0.2876051,NA
Pseudanamomis,0.765016667,NA,NA,NA,NA
Pseudima,0.8,NA,NA,NA,NA
Pseudobombax,0.273675869,407.25,1.636241809,0.404497935,NA
Pseudolmedia,0.632496934,420,0.764414715,0.200969936,0.744736948
Pseudomalmea,0.508046296,362,0.656621542,0.212507429,0.998715622
Pseudopiptadenia,0.677914879,910.6,1.525265699,0.46987797,0.711196262
Pseudosamanea,0.511833333,NA,NA,NA,NA
Pseudosenefeldera,0.577106516,NA,NA,NA,NA
Pseudoxandra,0.37,222.8,0.583320195,0.169099111,1.06533884
Psidium,0.725306834,267.3,0.599475487,0.130848335,0.924870346
Psychotria,0.567501847,341,0.890158418,0.285119788,NA
Pterandra,0.67884375,NA,NA,NA,NA
Pterocarpus,0.45882562,578.95,1.487322791,0.362438432,0.896096439
Pterodon,0.82,NA,NA,NA,NA
Pterygota,0.558235857,966,NA,NA,NA
Ptychopetalum,0.6625,246.65,0.461310254,0.161556824,NA
Putzeysia,0.69,NA,NA,NA,NA
Quadrella,0.68089418,495.4,0.629759813,0.167032923,NA
Qualea,0.615888098,840.15,1.331692397,0.350606449,0.532739099
Quararibea,0.480995859,278.3,0.570754999,0.153718428,0.772873002
Quiina,0.845356707,238.25,0.556591136,0.129475119,1.182277699
Randia,0.712666667,193.2,0.860622274,0.159128329,NA
Rauvolfia,0.496924042,669.8,1.171711536,0.318467042,NA
Recordoxylon,0.8,579,0.711923986,0.211363504,NA
Reevesia,0.445311563,NA,NA,NA,NA
Remijia,0.56,252,0.414252577,0.135911787,NA
Retiniphyllum,0.627528455,NA,NA,NA,NA
Rhabdodendron,0.8,174,NA,NA,NA
Rhamnidium,0.91975,367.3,1.402151023,0.384577662,NA
Rheedia,0.669403321,230.1,0.811396441,0.236248109,NA
Rhigospira,0.578459848,NA,NA,NA,NA
Rhinocarpus,0.569814286,NA,NA,NA,NA
Rhodostemonodaphne,0.404865175,437.55,1.037973192,0.243115436,0.693295415
Richeria,0.576666667,485.1,0.967566953,0.310943015,NA
Richeriella,0.649185714,NA,NA,NA,NA
Rinorea,0.690300684,276,0.399604392,0.107783112,1.186358048
Rinoreocarpus,0.664888889,243.7,0.483568454,0.154865058,NA
Rollinia,0.3209375,519.65,1.78189282,0.447155223,1.610151336
Rollinsia,0.86,NA,NA,NA,NA
Roucheria,0.819004739,281,0.669772134,0.236400956,2.373420878
Roupala,0.785084897,301.6,0.812982354,0.162847951,NA
Roystonea,0.393016667,NA,NA,NA,NA
Ruagea,0.47,NA,NA,NA,NA
Rudgea,0.627528455,217.1,NA,NA,NA
Ruizodendron,0.588814718,309,0.874532978,0.238558726,1.345273367
Ruizterania,0.596510024,811.4,1.281232493,0.386111432,0.362772534
Ruprechtia,0.629583333,NA,NA,NA,NA
Ruptiliocarpon,0.643065269,473.25,NA,NA,NA
Rustia,0.627528455,NA,NA,NA,NA
Ryania,0.609479647,480,NA,NA,NA
Sacoglottis,0.79968254,493,0.891600188,0.282711745,0.734577981
Sagotia,0.58,254,0.466456573,0.147539317,0.84396206
Salacia,0.701527778,246,0.722734816,0.165049305,NA
Samanea,0.548335554,508.5,NA,NA,NA
Sambucus,0.45,NA,NA,NA,NA
Samyda,0.616203175,NA,NA,NA,NA
Sanango,0.643065269,NA,NA,NA,NA
Sandwithia,0.74,166.05,0.192698732,0.046093462,0.576990087
Sapindus,0.740075757,389.95,NA,NA,NA
Sapium,0.415491958,645.7,1.89153605,0.536435804,1.243091963
Sarcaulus,0.615,408.75,0.549450549,0.140991719,NA
Savia,0.649185714,NA,NA,NA,NA
Scheelea,0.393016667,432,NA,NA,NA
Schefflera,0.477582436,567,1.406837774,0.473846825,1.39779828
Schistostemon,0.767029945,NA,NA,NA,NA
Schizocalyx,0.627528455,NA,NA,NA,NA
Schizolobium,0.469166667,896.55,NA,NA,NA
Schlegelia,0.643065269,NA,NA,NA,NA
Schoenobiblus,0.643065269,NA,NA,NA,NA
Schoepfia,0.643065269,NA,NA,NA,NA
Sclerolobium,0.530529115,585,2.373478953,0.672951026,NA
Scleronema,0.619799981,558.25,0.758700313,0.221167977,0.537242624
Securidaca,0.643065269,NA,NA,NA,NA
Seguiera,0.48,NA,NA,NA,NA
Senecio,0.505,NA,NA,NA,NA
Senefeldera,0.747640449,271,0.53163755,0.150085568,NA
Senegalia,0.667007458,542.1,2.16018945,0.683373805,NA
Senna,0.656573438,370,1.815253393,0.780269629,NA
Sextonia,0.552285714,922.55,0.940270156,0.24454626,0.412472349
Sideroxylon,0.805753072,NA,NA,NA,NA
Simaba,0.448190939,388,0.464101299,0.089639547,0.265563007
Simarouba,0.409575854,695,1.682732158,0.528221729,1.193170762
Simira,0.728562691,390.8,0.871167822,0.248644817,NA
Siparuna,0.648637562,249.05,0.480577001,0.098641477,1.110354758
Sloanea,0.777829484,500,0.8699385,0.199160544,0.724459248
Socratea,0.230582127,216,NA,NA,1.693811582
Solanum,0.283851449,233.25,2.353667872,0.703922877,NA
Sorocea,0.580396384,346.1,0.966109673,0.227387644,1.142699702
Spachea,0.595,NA,NA,NA,NA
Sparattanthelium,0.27975,NA,NA,NA,NA
Sparattosperma,0.568855512,NA,NA,NA,NA
Spathelia,0.784316049,NA,NA,NA,NA
Sphinctanthus,0.627528455,NA,NA,NA,NA
Spiranthera,0.784316049,NA,NA,NA,NA
Spirotropis,0.712601476,NA,NA,NA,NA
Spondias,0.389386362,812.4,1.485857851,0.423773315,0.878179557
Stachyarrhena,0.82,217.8,NA,NA,NA
Stachyococcus,0.627528455,NA,NA,NA,NA
Stemmadenia,0.5,NA,NA,NA,NA
Stenostomum,0.859555556,337.3,0.698602794,0.191816066,NA
Stephanopodium,0.640166667,NA,NA,NA,NA
Sterculia,0.482498821,546,1.241986954,0.263267705,0.669364575
Sterigmapetalum,0.77,467.95,NA,NA,NA
Strychnos,0.54,NA,NA,NA,NA
Stryphnodendron,0.566493056,584.35,1.636234473,0.381982486,1.14905872
Styloceras,0.643065269,NA,NA,NA,NA
Stylogyne,0.5175,NA,NA,NA,NA
Styrax,0.34,NA,NA,NA,NA
Swartzia,0.833854769,522,0.867448426,0.183135663,0.513176637
Sweetia,0.68,NA,NA,NA,NA
Swietenia,0.514387465,1328,NA,NA,NA
Syagrus,0.393016667,229.3,NA,NA,NA
Symmeria,0.67,507.5,NA,NA,NA
Symphonia,0.608083333,468,1.075083369,0.37293132,0.517324612
Symplocos,0.8,NA,NA,NA,NA
Syzygium,0.736533333,NA,NA,NA,NA
Tabebuia,0.777317444,554.65,1.299220779,0.258588846,0.579649022
Tabernaemontana,0.471936253,489.5,1.564781553,0.320757602,2.405119841
Tachigali,0.57569063,639.55,2.280047009,0.658858641,1.81065818
Talauma,0.497142857,NA,NA,NA,NA
Talisia,0.835325171,399,0.598479717,0.157773207,0.518495839
Tapirira,0.423520101,500.75,1.662292263,0.533093747,1.837590262
Tapura,0.635728043,410.6,0.633529412,0.127947986,0.267644783
Taralea,0.896425884,667.45,0.575728619,0.285192311,NA
Tecoma,0.47,NA,NA,NA,NA
Terminalia,0.672503559,791.6,1.556055167,0.381003085,0.53921742
Ternstroemia,0.69,258.4,0.378396973,0.134880238,NA
Tessmannianthus,0.633335,NA,NA,NA,NA
Tetracera,0.65,NA,NA,NA,NA
Tetragastris,0.710313494,512.7,0.769230769,0.211371939,0.749336083
Tetrameranthus,0.588814718,NA,NA,NA,NA
Tetrapterys,0.67884375,NA,NA,NA,NA
Tetrastylidium,0.719183036,300,0.312903795,0.111901807,NA
Tetrathylacium,0.62,185.8,0.462492045,0.099455854,1.026402672
Tetrorchidium,0.47,NA,NA,NA,NA
Theobroma,0.508979506,247.75,0.482585691,0.105973995,0.879062666
Thyrsodium,0.599454829,418,0.800567666,0.238272147,0.649453905
Tibouchina,0.633335,NA,NA,NA,NA
Ticodendron,0.643065269,NA,NA,NA,NA
Ticorea,0.784316049,NA,NA,NA,NA
Tipuana,0.57,NA,NA,NA,NA
Tococa,0.633335,321.35,1.089310689,0.284325763,NA
Tocoyena,0.62,NA,NA,NA,NA
Tontelea,0.701527778,NA,NA,NA,NA
Toulicia,0.609554913,300.4,0.774769151,0.21442649,NA
Touroulia,0.76,206.05,0.528338136,0.153855979,NA
Tovomita,0.694195842,272,0.333036068,0.099106561,0.809612737
Tovomitopsis,0.66934747,NA,NA,NA,NA
Toxosiphon,0.784316049,NA,NA,NA,NA
Trattinnickia,0.471565124,550.2,0.84226156,0.274098579,0.642767342
Trema,0.316442308,357.75,3.247778875,1.257813901,NA
Trichanthera,0.45,NA,NA,NA,NA
Trichilia,0.65368248,337,0.627908707,0.161099915,1.54496952
Trichoscypha,0.569814286,NA,NA,NA,NA
Trichospermum,0.27,NA,NA,NA,NA
Trifolium,0.712601476,NA,NA,NA,NA
Trigynaea,0.588814718,231.95,0.524344029,0.123465982,NA
Triplaris,0.504608855,343,1.359336118,0.358861421,3.989818344
Trophis,0.634459223,602.3,NA,NA,NA
Trymatococcus,0.635564145,262.25,0.416733627,0.098851155,0.578696462
Turpinia,0.335,307.9,0.9774718,0.258727573,NA
Unonopsis,0.52124524,273,0.762856255,0.18047865,0.890484132
Urera,0.362527322,271.8,1.362916679,0.484474614,5.168653026
Uribea,0.712601476,NA,NA,NA,NA
Urtica,0.394980303,NA,NA,NA,NA
Vachellia,0.714104167,NA,NA,NA,NA
Vantanea,0.833676557,548.6,0.85491009,0.273059156,0.372551636
Varennea,0.712601476,NA,NA,NA,NA
Varronia,0.524994048,NA,NA,NA,NA
Vatairea,0.667842592,607.6,1.152172738,0.321461472,0.609186326
Vataireopsis,0.618333333,770.85,NA,NA,NA
Vernonia,0.505,NA,NA,NA,NA
Virola,0.49176255,449,1.003649635,0.251762759,1.346934427
Vismia,0.469461638,326.35,1.501307689,0.406563997,3.421959953
Vitex,0.554009418,660,0.583660276,0.122295497,0.732543786
Vochysia,0.451962231,705.25,1.76217413,0.594039846,1.138674297
Votomita,0.633335,163.4,NA,NA,NA
Vouacapoua,0.79508597,692.5,0.866608273,0.223098934,0.179652492
Vouarana,0.84,NA,NA,NA,NA
Warszewiczia,0.561128788,496.15,0.818321507,0.242040305,NA
Welfia,0.4,551,NA,NA,NA
Wettinia,0.393016667,221,NA,NA,NA
Williamodendron,0.559416987,NA,NA,NA,NA
Wittmackanthus,0.627528455,NA,NA,NA,NA
Xantolis,0.757886443,NA,NA,NA,NA
Ximenia,0.825,NA,NA,NA,NA
Xylopia,0.6166787,345.55,0.948621065,0.303487272,1.624862651
Xylosma,0.77,638.2,0.880176035,0.232647279,NA
Zamia,0.643065269,NA,NA,NA,NA
Zanthoxylum,0.571423087,515,1.920499861,0.509760649,1.573101342
Ziziphus,0.843207547,632.4,0.76356208,0.205755238,NA
Zollernia,0.99,NA,NA,NA,NA
Zuelania,0.563,NA,NA,NA,NA
Zygia,0.681844547,406,0.728871839,0.181026744,0.62440211
